                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.7271,0.66958,0.92266,0.00407,0.25854,0.00282,0.00068,1.3438,0.52864,0.95213,0.00066184,0.00066184,0.00066184
2,1.3135,0.56226,0.61438,0.08069,0.33094,0.08683,0.0261,0.92821,0.93407,0.44259,0.001322,0.001322,0.001322
3,0.86663,0.8237,0.32675,0.39613,0.4393,0.37443,0.15065,0.62935,0.87211,0.26802,0.0019755,0.0019755,0.0019755
4,0.77954,0.90438,0.27922,0.25796,0.35881,0.21524,0.08806,0.65342,0.97478,0.2998,0.0019704,0.0019704,0.0019704
5,0.7369,0.86553,0.25989,0.37757,0.4366,0.34914,0.12414,0.64545,0.99003,0.31249,0.0019704,0.0019704,0.0019704
6,0.74071,0.738,0.27012,0.53832,0.48156,0.45107,0.18392,0.70404,0.7371,0.30927,0.0019606,0.0019606,0.0019606
7,0.72784,0.71803,0.26463,0.67252,0.54946,0.63492,0.28656,0.58489,0.76192,0.24184,0.0019507,0.0019507,0.0019507
8,0.71605,0.75891,0.25087,0.60662,0.57779,0.58471,0.28027,0.64088,0.73726,0.31121,0.0019409,0.0019409,0.0019409
9,0.70784,0.71369,0.25651,0.6731,0.60432,0.67208,0.30942,0.56165,0.76406,0.23123,0.001931,0.001931,0.001931
10,0.68551,0.66965,0.24109,0.74129,0.65872,0.71807,0.32974,0.57316,0.65821,0.24323,0.0019212,0.0019212,0.0019212
11,0.67564,0.648,0.24019,0.74263,0.63579,0.7177,0.33024,0.57527,0.68007,0.25425,0.0019113,0.0019113,0.0019113
12,0.64763,0.65884,0.22783,0.77804,0.70454,0.78713,0.37562,0.54068,0.63457,0.22211,0.0019015,0.0019015,0.0019015
13,0.63916,0.65687,0.22093,0.74887,0.73112,0.79705,0.40007,0.52753,0.60525,0.22096,0.0018916,0.0018916,0.0018916
14,0.62876,0.61728,0.22305,0.74579,0.79542,0.79871,0.40253,0.53023,0.5974,0.22527,0.0018818,0.0018818,0.0018818
15,0.62676,0.60857,0.22123,0.77017,0.76079,0.82343,0.4089,0.52122,0.6048,0.22092,0.0018719,0.0018719,0.0018719
16,0.61976,0.62541,0.21852,0.79552,0.72077,0.80603,0.41086,0.52694,0.59542,0.2234,0.0018621,0.0018621,0.0018621
