                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.5448,0.61598,0.79375,0.06316,0.21897,0.04146,0.01219,1.135,0.80374,0.57439,0.00066425,0.00066425,0.00066425
2,0.92968,0.76403,0.36801,0.17949,0.35432,0.15798,0.06031,0.63689,1.0906,0.25842,0.0013244,0.0013244,0.0013244
3,0.76539,0.85354,0.26817,0.32582,0.45773,0.31558,0.11416,0.69222,0.948,0.27339,0.0019779,0.0019779,0.0019779
4,0.757,0.81779,0.26917,0.3829,0.56385,0.41504,0.18619,0.58501,0.95798,0.23736,0.0019704,0.0019704,0.0019704
5,0.75921,0.76964,0.27533,0.46077,0.49101,0.4317,0.16339,0.73227,0.71878,0.31208,0.0019704,0.0019704,0.0019704
6,0.72603,0.77233,0.26334,0.52169,0.58408,0.55666,0.23023,0.62097,0.75438,0.25314,0.0019606,0.0019606,0.0019606
7,0.70864,0.76874,0.25536,0.49465,0.52683,0.50902,0.23156,0.57286,0.89796,0.23547,0.0019507,0.0019507,0.0019507
8,0.69037,0.7853,0.24445,0.59257,0.64024,0.61458,0.25845,0.62525,0.68425,0.25607,0.0019409,0.0019409,0.0019409
9,0.67533,0.73023,0.24075,0.60827,0.58138,0.62497,0.2912,0.5578,0.75076,0.22765,0.001931,0.001931,0.001931
10,0.66985,0.6887,0.23975,0.62959,0.5625,0.62255,0.31394,0.52687,0.78691,0.22393,0.0019212,0.0019212,0.0019212
11,0.66137,0.66701,0.23427,0.68056,0.69065,0.72932,0.35163,0.54806,0.67192,0.22907,0.0019113,0.0019113,0.0019113
12,0.66295,0.66993,0.23324,0.68469,0.6571,0.71343,0.33201,0.54714,0.71803,0.22136,0.0019015,0.0019015,0.0019015
13,0.63944,0.65832,0.2222,0.69455,0.69424,0.74376,0.37067,0.52738,0.65233,0.22269,0.0018916,0.0018916,0.0018916
14,0.63933,0.68414,0.22953,0.64393,0.68255,0.70538,0.34667,0.53184,0.68064,0.22251,0.0018818,0.0018818,0.0018818
15,0.64336,0.66578,0.2311,0.72731,0.66052,0.73967,0.35013,0.544,0.65647,0.22486,0.0018719,0.0018719,0.0018719
16,0.6232,0.68122,0.22129,0.69641,0.69828,0.7422,0.3709,0.52135,0.67264,0.22079,0.0018621,0.0018621,0.0018621
17,0.62245,0.64284,0.22116,0.71822,0.68345,0.75527,0.38267,0.51667,0.66888,0.22123,0.0018522,0.0018522,0.0018522
18,0.60809,0.64115,0.21703,0.74866,0.70459,0.77683,0.38955,0.51584,0.64726,0.21643,0.0018424,0.0018424,0.0018424
19,0.61204,0.62404,0.21454,0.74216,0.70459,0.78331,0.37789,0.5327,0.63376,0.22031,0.0018325,0.0018325,0.0018325
20,0.5882,0.64329,0.2094,0.72344,0.68076,0.75814,0.38195,0.50207,0.68877,0.2088,0.0018227,0.0018227,0.0018227
21,0.59562,0.64017,0.20782,0.74058,0.70459,0.77855,0.39582,0.4935,0.69094,0.20475,0.0018128,0.0018128,0.0018128
22,0.60353,0.64388,0.21611,0.70847,0.70594,0.76039,0.35796,0.55865,0.66477,0.23744,0.001803,0.001803,0.001803
23,0.59484,0.6448,0.20697,0.76665,0.71205,0.80537,0.40613,0.50697,0.6369,0.21106,0.0017931,0.0017931,0.0017931
24,0.59412,0.63108,0.21137,0.71809,0.70504,0.76965,0.39679,0.51258,0.62537,0.22312,0.0017833,0.0017833,0.0017833
25,0.60333,0.64039,0.2136,0.7521,0.72167,0.79724,0.40938,0.50164,0.63981,0.21073,0.0017734,0.0017734,0.0017734
26,0.58175,0.61724,0.20584,0.74762,0.73876,0.81446,0.43419,0.47793,0.61683,0.20055,0.0017636,0.0017636,0.0017636
27,0.5698,0.61477,0.20305,0.75175,0.71893,0.79192,0.40445,0.50081,0.65392,0.21047,0.0017537,0.0017537,0.0017537
28,0.57467,0.62513,0.20515,0.56627,0.65737,0.66184,0.35164,0.49508,0.76846,0.21096,0.0017439,0.0017439,0.0017439
29,0.58475,0.62553,0.20509,0.75309,0.71403,0.79998,0.40064,0.49541,0.64713,0.2072,0.001734,0.001734,0.001734
30,0.57713,0.61763,0.20491,0.7898,0.75854,0.83623,0.43864,0.48727,0.60575,0.20823,0.0017242,0.0017242,0.0017242
31,0.57429,0.60112,0.205,0.75826,0.76484,0.81963,0.43185,0.48785,0.61227,0.20771,0.0017143,0.0017143,0.0017143
32,0.57797,0.60647,0.20593,0.78015,0.74146,0.82049,0.41899,0.50285,0.6139,0.21349,0.0017045,0.0017045,0.0017045
33,0.56742,0.62248,0.19882,0.78713,0.74654,0.83708,0.4389,0.48388,0.60013,0.20744,0.0016946,0.0016946,0.0016946
34,0.5794,0.64369,0.20719,0.72204,0.70082,0.74374,0.38151,0.5377,0.62622,0.2349,0.0016848,0.0016848,0.0016848
35,0.5757,0.60859,0.20216,0.78477,0.7482,0.8399,0.44423,0.48187,0.60354,0.20713,0.0016749,0.0016749,0.0016749
36,0.56108,0.61026,0.19734,0.79421,0.74791,0.8277,0.43864,0.49002,0.60344,0.21114,0.0016651,0.0016651,0.0016651
37,0.57261,0.61125,0.2059,0.78833,0.76709,0.83708,0.44396,0.48279,0.60034,0.20772,0.0016552,0.0016552,0.0016552
38,0.56345,0.59931,0.19941,0.77126,0.75854,0.83763,0.44581,0.47543,0.61635,0.2009,0.0016454,0.0016454,0.0016454
39,0.55664,0.60334,0.19902,0.78502,0.68165,0.78387,0.38996,0.5144,0.65682,0.21663,0.0016355,0.0016355,0.0016355
40,0.55845,0.60175,0.19977,0.79392,0.77203,0.84237,0.4461,0.48322,0.59842,0.20301,0.0016257,0.0016257,0.0016257
41,0.54349,0.60053,0.19207,0.76237,0.70106,0.78042,0.41872,0.4842,0.69832,0.20633,0.0016158,0.0016158,0.0016158
42,0.57546,0.61734,0.20662,0.79165,0.76881,0.83875,0.44064,0.49303,0.59442,0.21005,0.001606,0.001606,0.001606
43,0.5603,0.60086,0.19691,0.80898,0.79676,0.85824,0.46636,0.47143,0.57603,0.20179,0.0015961,0.0015961,0.0015961
44,0.55326,0.59654,0.19261,0.81422,0.77788,0.85384,0.45986,0.47896,0.59422,0.20794,0.0015863,0.0015863,0.0015863
45,0.54184,0.57912,0.18835,0.79552,0.77844,0.83882,0.45027,0.46993,0.59346,0.19956,0.0015764,0.0015764,0.0015764
46,0.54328,0.58813,0.19409,0.82068,0.79431,0.86276,0.47119,0.4632,0.58109,0.19631,0.0015666,0.0015666,0.0015666
47,0.54344,0.58582,0.19146,0.81382,0.80261,0.8712,0.47683,0.45654,0.57916,0.19446,0.0015567,0.0015567,0.0015567
48,0.53473,0.566,0.19061,0.84191,0.80351,0.87768,0.4809,0.46897,0.55303,0.2047,0.0015469,0.0015469,0.0015469
49,0.53095,0.56509,0.18965,0.82768,0.81634,0.88526,0.4849,0.46524,0.54686,0.20194,0.001537,0.001537,0.001537
50,0.53407,0.56051,0.18541,0.85411,0.79047,0.87586,0.4763,0.46785,0.55101,0.20499,0.0015272,0.0015272,0.0015272
