                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6585,                0.61214,                0.88317,                0.00942,                0.42581,                0.02088,                0.00448,                   1.14,                0.66745,                0.56795,             0.00066425,             0.00066425,             0.00066425
                      2,                 1.2354,                0.60266,                0.57211,                0.25546,                0.36691,                 0.2371,                0.07961,                0.72062,                0.98768,                0.31323,              0.0013244,              0.0013244,              0.0013244
                      3,                 0.8816,                0.80676,                0.33457,                0.28064,                0.45327,                0.28994,                0.11781,                 0.5948,                 1.0004,                0.24516,              0.0019779,              0.0019779,              0.0019779
                      4,                0.79649,                0.82313,                0.29418,                0.33902,                0.36871,                0.27712,                0.09254,                 0.7422,                0.82747,                0.38008,              0.0019704,              0.0019704,              0.0019704
                      5,                0.75801,                0.81998,                0.27193,                0.37233,                 0.5652,                0.37918,                0.16712,                 0.5613,                0.91838,                0.22848,              0.0019704,              0.0019704,              0.0019704
                      6,                0.80771,                0.74199,                0.29833,                0.43724,                0.49685,                0.43291,                0.18669,                0.59876,                0.87821,                0.24786,              0.0019606,              0.0019606,              0.0019606
                      7,                0.74367,                0.78557,                0.27293,                0.55352,                0.59311,                0.58413,                0.25642,                0.58082,                 0.7879,                0.24033,              0.0019507,              0.0019507,              0.0019507
                      8,                0.74299,                0.74063,                0.26902,                0.53863,                0.60522,                0.55888,                0.23193,                0.61688,                0.76609,                0.25641,              0.0019409,              0.0019409,              0.0019409
                      9,                0.73529,                0.73991,                0.27204,                0.70374,                0.59757,                0.65525,                0.28732,                0.58862,                0.72013,                0.25123,               0.001931,               0.001931,               0.001931
                     10,                0.70319,                0.70691,                0.25697,                 0.6512,                0.67494,                0.64072,                0.28705,                0.59072,                0.68603,                0.24937,              0.0019212,              0.0019212,              0.0019212
                     11,                0.68219,                0.68586,                0.24424,                0.68687,                0.68054,                0.70881,                0.32916,                0.55171,                0.70098,                0.23212,              0.0019113,              0.0019113,              0.0019113
                     12,                0.67846,                 0.6777,                0.24071,                0.73875,                0.70059,                0.74135,                0.36328,                0.54711,                0.65862,                0.23062,              0.0019015,              0.0019015,              0.0019015
                     13,                 0.6609,                0.64818,                0.23506,                0.76863,                0.71897,                0.77778,                0.37835,                 0.5443,                0.61322,                0.23094,              0.0018916,              0.0018916,              0.0018916
                     14,                0.63522,                0.66044,                0.22963,                0.74989,                0.73069,                0.77887,                0.38372,                0.53257,                0.62352,                0.22707,              0.0018818,              0.0018818,              0.0018818
