                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2047,                 2.5112,                 3.3127,                 2.9645,                 3.9857,                 3.2422,                0.49211,                0.28362,                0.33355,                0.14151,                 2.2953,                 1.9447,                 2.4613,                 1.9567,                 2.5597,                 2.3316,             0.00066184,             0.00066184,             0.00066184
                      2,                 2.2117,                 1.4398,                 2.1185,                 2.1216,                 1.8281,                 1.9598,                0.59506,                0.57286,                0.59919,                0.27254,                 1.9017,                 1.3513,                 2.0302,                 1.7976,                 1.6622,                  1.932,               0.001322,               0.001322,               0.001322
                      3,                 2.0151,                 1.2953,                 1.9174,                 1.9696,                 1.6186,                 1.8108,                0.69182,                0.67626,                0.74212,                0.34594,                 1.7697,                 1.2358,                 1.8672,                 1.7636,                 1.2996,                 1.8673,              0.0019755,              0.0019755,              0.0019755
                      4,                 1.9338,                 1.2086,                 1.8238,                 1.9081,                 1.4844,                 1.7547,                0.69247,                0.70324,                0.73719,                0.34749,                 1.7476,                 1.1924,                 1.8056,                 1.7324,                 1.2598,                 1.7818,              0.0019704,              0.0019704,              0.0019704
                      5,                 1.8778,                 1.1799,                 1.7613,                  1.888,                 1.4154,                 1.7193,                0.67694,                 0.6925,                0.73234,                0.34994,                 1.7546,                 1.1863,                 1.7982,                 1.6911,                 1.2913,                 1.7336,              0.0019704,              0.0019704,              0.0019704
                      6,                 1.8317,                 1.1261,                 1.7132,                 1.8272,                 1.3242,                 1.6669,                0.72595,                0.71178,                0.78565,                0.40349,                 1.6111,                  1.062,                 1.7018,                 1.5808,                 1.1888,                 1.6444,              0.0019606,              0.0019606,              0.0019606
                      7,                  1.777,                  1.087,                 1.6853,                 1.7939,                 1.2769,                 1.6582,                0.75798,                0.73651,                0.80782,                0.41721,                 1.6259,                0.98643,                 1.7011,                 1.5945,                 1.0826,                 1.6707,              0.0019507,              0.0019507,              0.0019507
                      8,                  1.764,                 1.0702,                 1.6694,                  1.778,                 1.2502,                 1.6405,                0.72979,                0.71043,                0.76359,                0.37486,                 1.6929,                 1.0857,                 1.7407,                 1.6803,                 1.1664,                 1.7191,              0.0019409,              0.0019409,              0.0019409
                      9,                 1.7084,                 1.0229,                 1.6294,                 1.7265,                 1.1834,                 1.6107,                0.77145,                0.76191,                 0.8331,                0.43811,                 1.5912,                0.94847,                 1.6505,                 1.5752,                0.96926,                  1.629,               0.001931,               0.001931,               0.001931
                     10,                 1.6937,                0.99495,                 1.6086,                 1.7292,                 1.1364,                 1.5966,                 0.7494,                0.75029,                0.81346,                0.41324,                 1.5659,                 0.9701,                 1.6271,                 1.5813,                 1.0629,                 1.6194,              0.0019212,              0.0019212,              0.0019212
