                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.329,2.7353,3.3876,3.0994,4.377,3.3158,0.33958,0.22172,0.22594,0.079,2.3428,2.0593,2.6333,2.0594,2.8682,2.348,0.00066184,0.00066184,0.00066184
2,2.2339,1.4995,2.1425,2.1371,1.9492,1.9949,0.5428,0.57779,0.57212,0.25409,1.9394,1.3924,2.0807,1.8271,1.7829,1.9887,0.001322,0.001322,0.001322
3,2.0614,1.3436,1.9561,2.0147,1.6716,1.8628,0.60893,0.65113,0.65297,0.29432,1.7943,1.4286,1.8926,1.7926,1.4825,1.9127,0.0019755,0.0019755,0.0019755
4,1.9435,1.2543,1.8454,1.9157,1.5313,1.7748,0.67829,0.66007,0.70682,0.32891,1.739,1.1262,1.8439,1.7592,1.3406,1.8446,0.0019704,0.0019704,0.0019704
5,1.8797,1.2118,1.7857,1.8768,1.4567,1.7333,0.67693,0.6887,0.70896,0.32923,1.7312,1.167,1.816,1.7005,1.3461,1.7696,0.0019704,0.0019704,0.0019704
6,1.8142,1.139,1.7229,1.8098,1.3584,1.6798,0.73729,0.70459,0.77419,0.36652,1.6628,1.0534,1.7685,1.6761,1.2335,1.7477,0.0019606,0.0019606,0.0019606
7,1.7831,1.1036,1.713,1.7978,1.3101,1.6762,0.74673,0.73178,0.79295,0.39374,1.6221,1.094,1.7211,1.624,1.1612,1.716,0.0019507,0.0019507,0.0019507
8,1.7782,1.0949,1.6989,1.7838,1.2767,1.6646,0.72546,0.66682,0.74754,0.37835,1.6374,1.0813,1.7343,1.6246,1.1949,1.7026,0.0019409,0.0019409,0.0019409
9,1.7415,1.0617,1.6713,1.7526,1.2424,1.6392,0.74577,0.74128,0.80306,0.40176,1.6241,1.066,1.6995,1.6607,1.083,1.693,0.001931,0.001931,0.001931
10,1.6994,1.014,1.6276,1.7392,1.1569,1.6149,0.75137,0.72392,0.8049,0.42019,1.5586,0.97055,1.6386,1.595,1.009,1.6283,0.0019212,0.0019212,0.0019212
11,1.6817,1.0134,1.6239,1.7242,1.1594,1.6082,0.75914,0.76387,0.81888,0.4411,1.5233,0.9239,1.6276,1.5396,0.97426,1.6133,0.0019113,0.0019113,0.0019113
12,1.6651,0.98648,1.6066,1.6978,1.1305,1.5945,0.75076,0.72054,0.80264,0.43085,1.5107,0.96486,1.6217,1.5194,1.0697,1.6078,0.0019015,0.0019015,0.0019015
13,1.6541,0.97355,1.5981,1.6913,1.0978,1.5876,0.77479,0.75225,0.82473,0.43855,1.5538,0.90991,1.6471,1.5562,0.96613,1.6402,0.0018916,0.0018916,0.0018916
14,1.6283,0.94693,1.5738,1.6855,1.0638,1.5683,0.7702,0.77743,0.84516,0.45104,1.5124,0.94118,1.6066,1.5133,0.97114,1.6032,0.0018818,0.0018818,0.0018818
15,1.6394,0.95139,1.5752,1.6926,1.0582,1.57,0.77901,0.7455,0.82874,0.44457,1.5485,0.89122,1.6241,1.557,0.94143,1.6253,0.0018719,0.0018719,0.0018719
16,1.6141,0.93318,1.5667,1.6591,1.041,1.5582,0.80949,0.77187,0.85821,0.46569,1.4715,0.87169,1.5842,1.4937,0.89967,1.5783,0.0018621,0.0018621,0.0018621
17,1.5734,0.89486,1.5341,1.6216,0.97388,1.5256,0.77461,0.78732,0.84915,0.45415,1.5015,0.8578,1.5924,1.497,0.88659,1.5702,0.0018522,0.0018522,0.0018522
