                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.1932,2.5914,3.2278,2.9685,4.2579,3.1808,0.63089,0.23209,0.37078,0.15106,2.205,1.9479,2.4657,1.989,2.8654,2.3144,0.00066184,0.00066184,0.00066184
2,2.1818,1.4753,2.1077,2.0872,1.9738,1.9669,0.55769,0.48471,0.53095,0.24522,1.8992,1.497,2.12,1.7968,1.9327,1.9947,0.001322,0.001322,0.001322
3,2.0151,1.3074,1.9476,1.9647,1.6471,1.8464,0.59228,0.58768,0.6092,0.24881,2.0304,1.4712,2.1101,1.8755,1.6898,1.9702,0.0019755,0.0019755,0.0019755
4,1.9245,1.2395,1.8662,1.8997,1.5204,1.7867,0.68067,0.62201,0.69184,0.32777,1.8696,1.2067,1.9807,1.8267,1.4229,1.931,0.0019704,0.0019704,0.0019704
5,1.8886,1.2254,1.8154,1.8805,1.4595,1.7579,0.63879,0.61061,0.64441,0.29227,1.7692,1.28,1.8797,1.7167,1.4848,1.8133,0.0019704,0.0019704,0.0019704
6,1.81,1.1322,1.7453,1.8089,1.3515,1.6939,0.72572,0.6893,0.75854,0.38053,1.6217,1.1806,1.78,1.6152,1.2417,1.7332,0.0019606,0.0019606,0.0019606
7,1.7746,1.1053,1.7244,1.7853,1.3137,1.6824,0.67771,0.69649,0.74544,0.37653,1.696,1.1067,1.8157,1.6204,1.2325,1.7263,0.0019507,0.0019507,0.0019507
8,1.7669,1.0929,1.713,1.7815,1.2872,1.6779,0.70806,0.70144,0.75576,0.39104,1.613,1.0634,1.7584,1.5821,1.169,1.7175,0.0019409,0.0019409,0.0019409
9,1.7086,1.0363,1.6637,1.7217,1.2145,1.6372,0.74569,0.72119,0.79395,0.41339,1.6103,0.98361,1.7051,1.6023,1.0357,1.6675,0.001931,0.001931,0.001931
10,1.6908,1.0022,1.635,1.711,1.1805,1.604,0.7277,0.75719,0.80762,0.42082,1.5866,0.99174,1.7032,1.5639,1.0669,1.6626,0.0019212,0.0019212,0.0019212
11,1.6746,1.0112,1.6276,1.7014,1.1632,1.6021,0.74789,0.76832,0.82075,0.4374,1.5068,0.98487,1.6152,1.5147,1.0314,1.5988,0.0019113,0.0019113,0.0019113
12,1.6433,0.97002,1.5995,1.6737,1.1151,1.5829,0.78633,0.7545,0.83061,0.44024,1.5075,0.93568,1.6278,1.5376,0.98623,1.6242,0.0019015,0.0019015,0.0019015
13,1.646,0.95969,1.5985,1.683,1.0862,1.5815,0.7901,0.75486,0.834,0.45723,1.536,0.89465,1.6531,1.5248,0.94485,1.6139,0.0018916,0.0018916,0.0018916
14,1.6423,0.95189,1.5891,1.685,1.0813,1.5717,0.7609,0.78103,0.84099,0.45324,1.5548,0.86674,1.6283,1.5349,0.90357,1.5949,0.0018818,0.0018818,0.0018818
15,1.6303,0.93146,1.5722,1.6736,1.0394,1.5573,0.74286,0.67677,0.77468,0.40695,1.64,1.009,1.6963,1.6279,1.0824,1.6506,0.0018719,0.0018719,0.0018719
16,1.6108,0.92413,1.5621,1.6536,1.0387,1.5527,0.80148,0.77113,0.85532,0.47682,1.4531,0.85924,1.5634,1.46,0.89373,1.5488,0.0018621,0.0018621,0.0018621
17,1.571,0.90241,1.5294,1.6146,0.99893,1.5215,0.79303,0.78905,0.86685,0.47227,1.4815,0.85235,1.5879,1.485,0.88875,1.5593,0.0018522,0.0018522,0.0018522
18,1.5889,0.90986,1.5539,1.6346,1.0159,1.5526,0.78754,0.74002,0.83196,0.44718,1.5256,0.91269,1.626,1.5253,0.95879,1.6175,0.0018424,0.0018424,0.0018424
19,1.5406,0.86943,1.5181,1.5954,0.95699,1.5212,0.80215,0.79117,0.86842,0.47727,1.4883,0.83346,1.5733,1.5124,0.83202,1.5777,0.0018325,0.0018325,0.0018325
20,1.5498,0.87156,1.5264,1.5992,0.96783,1.5278,0.79442,0.78709,0.86375,0.48123,1.4661,0.8279,1.5653,1.4828,0.84443,1.5636,0.0018227,0.0018227,0.0018227
21,1.5433,0.86407,1.5254,1.6027,0.95445,1.5306,0.80315,0.80351,0.87438,0.48477,1.4536,0.81245,1.5659,1.4854,0.82495,1.5863,0.0018128,0.0018128,0.0018128
22,1.5297,0.83949,1.5005,1.593,0.90212,1.5077,0.80185,0.808,0.88405,0.49326,1.4639,0.80878,1.5599,1.4865,0.80284,1.5609,0.001803,0.001803,0.001803
23,1.5356,0.86244,1.5062,1.5876,0.93794,1.5111,0.82235,0.8134,0.88291,0.49654,1.4703,0.79652,1.5438,1.4923,0.7758,1.5662,0.0017931,0.0017931,0.0017931
24,1.4982,0.82237,1.481,1.5465,0.89239,1.482,0.80598,0.80129,0.87387,0.50203,1.4283,0.80463,1.5447,1.4314,0.81138,1.5375,0.0017833,0.0017833,0.0017833
25,1.5083,0.81578,1.4834,1.5659,0.88276,1.4884,0.84295,0.81088,0.89566,0.50068,1.4405,0.76201,1.5455,1.4772,0.75309,1.5613,0.0017734,0.0017734,0.0017734
26,1.4958,0.81086,1.4802,1.5587,0.88703,1.4902,0.82101,0.79137,0.87713,0.49349,1.4219,0.81279,1.5326,1.4642,0.82015,1.5616,0.0017636,0.0017636,0.0017636
27,1.4999,0.8254,1.488,1.5579,0.8868,1.5045,0.80264,0.8174,0.8886,0.50925,1.3925,0.79344,1.5222,1.424,0.77982,1.542,0.0017537,0.0017537,0.0017537
28,1.4892,0.80338,1.4765,1.5498,0.85237,1.4875,0.80787,0.83004,0.89789,0.50923,1.4184,0.76983,1.524,1.4377,0.74277,1.5323,0.0017439,0.0017439,0.0017439
29,1.4798,0.80499,1.4763,1.5382,0.85057,1.4852,0.84466,0.81115,0.89379,0.49376,1.4414,0.79698,1.5455,1.4776,0.773,1.5503,0.001734,0.001734,0.001734
30,1.458,0.7897,1.4631,1.5198,0.84195,1.4701,0.8516,0.80249,0.89594,0.52223,1.3804,0.76364,1.5043,1.409,0.74335,1.5163,0.0017242,0.0017242,0.0017242
31,1.4481,0.7762,1.4558,1.5047,0.81551,1.4641,0.80683,0.80126,0.86466,0.50006,1.4083,0.79824,1.5192,1.4369,0.81999,1.5264,0.0017143,0.0017143,0.0017143
32,1.4435,0.7808,1.4535,1.5107,0.82324,1.4614,0.84687,0.82309,0.90273,0.52244,1.4002,0.74579,1.5174,1.434,0.7266,1.5187,0.0017045,0.0017045,0.0017045
33,1.4303,0.76802,1.4488,1.4899,0.81836,1.452,0.8342,0.80763,0.89051,0.51663,1.4116,0.77241,1.534,1.4353,0.75437,1.5247,0.0016946,0.0016946,0.0016946
34,1.4301,0.75675,1.4287,1.489,0.7836,1.4381,0.83348,0.85521,0.91324,0.53662,1.3579,0.73228,1.4837,1.3924,0.69847,1.4982,0.0016848,0.0016848,0.0016848
35,1.4175,0.74389,1.4209,1.4853,0.77215,1.4343,0.84369,0.80573,0.89749,0.52737,1.3962,0.73764,1.5077,1.424,0.72461,1.5193,0.0016749,0.0016749,0.0016749
36,1.4056,0.74699,1.4283,1.4663,0.77732,1.4401,0.85718,0.84173,0.91541,0.54454,1.3609,0.70506,1.4946,1.3826,0.6722,1.4954,0.0016651,0.0016651,0.0016651
37,1.4085,0.74767,1.4331,1.476,0.77706,1.4396,0.84836,0.83543,0.90311,0.5268,1.3836,0.71988,1.4945,1.4212,0.69179,1.4958,0.0016552,0.0016552,0.0016552
38,1.4058,0.73097,1.4104,1.4724,0.76148,1.4184,0.8376,0.85807,0.91103,0.53307,1.3608,0.71192,1.4902,1.4016,0.68258,1.5034,0.0016454,0.0016454,0.0016454
39,1.3942,0.72549,1.4093,1.4537,0.76548,1.4187,0.85791,0.84973,0.91329,0.54355,1.3618,0.69155,1.4776,1.3752,0.67655,1.4829,0.0016355,0.0016355,0.0016355
40,1.39,0.72981,1.4066,1.4452,0.76817,1.4183,0.85063,0.84577,0.91495,0.53647,1.361,0.70155,1.4742,1.3912,0.66707,1.4917,0.0016257,0.0016257,0.0016257
41,1.3791,0.72691,1.4027,1.4311,0.75906,1.4113,0.85447,0.84128,0.91874,0.54255,1.3659,0.70219,1.4866,1.4062,0.65857,1.5029,0.0016158,0.0016158,0.0016158
42,1.3828,0.71681,1.3982,1.4428,0.74094,1.4103,0.85502,0.85915,0.92351,0.54508,1.3646,0.66562,1.4905,1.4016,0.63372,1.511,0.001606,0.001606,0.001606
43,1.3778,0.71642,1.4102,1.4442,0.73172,1.4241,0.85659,0.85672,0.91601,0.53652,1.3831,0.68538,1.4797,1.4143,0.6513,1.499,0.0015961,0.0015961,0.0015961
44,1.355,0.70303,1.3863,1.4153,0.72653,1.3991,0.85713,0.84622,0.91828,0.55824,1.3301,0.6759,1.454,1.3668,0.64539,1.4717,0.0015863,0.0015863,0.0015863
45,1.3408,0.70001,1.3811,1.4101,0.71241,1.3967,0.8614,0.8691,0.92577,0.55557,1.342,0.66119,1.471,1.3731,0.63148,1.4781,0.0015764,0.0015764,0.0015764
46,1.3516,0.69676,1.3756,1.413,0.7093,1.3865,0.87255,0.84263,0.92356,0.55781,1.3225,0.66143,1.4473,1.3572,0.62572,1.4723,0.0015666,0.0015666,0.0015666
47,1.3322,0.6809,1.3626,1.3917,0.69426,1.374,0.8683,0.83633,0.92183,0.55155,1.3625,0.67595,1.4718,1.3842,0.63086,1.4752,0.0015567,0.0015567,0.0015567
48,1.3177,0.68053,1.3696,1.3751,0.70421,1.3818,0.8643,0.85836,0.92878,0.5696,1.3167,0.64694,1.4422,1.3464,0.61005,1.4534,0.0015469,0.0015469,0.0015469
49,1.3267,0.68018,1.3719,1.3895,0.69465,1.3842,0.87493,0.85117,0.93154,0.56781,1.3109,0.64159,1.4331,1.349,0.59443,1.4492,0.001537,0.001537,0.001537
50,1.3091,0.66619,1.3509,1.3695,0.68559,1.3647,0.85199,0.86705,0.92688,0.56036,1.3357,0.65317,1.4551,1.3661,0.63148,1.4762,0.0015272,0.0015272,0.0015272
