                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.4375,3.1065,3.4733,3.1436,4.9982,3.5254,0.29479,0.0671,0.09382,0.03055,2.7651,3.3293,2.7629,2.2955,4.2505,2.8225,0.00066184,0.00066184,0.00066184
2,2.3226,1.7443,2.1218,2.1384,2.638,2.0227,0.46751,0.43345,0.4128,0.173,2.0153,1.5996,2.0328,1.8478,2.4196,2.0331,0.001322,0.001322,0.001322
3,2.0892,1.4778,1.8895,1.977,2.0536,1.8289,0.46548,0.47347,0.46372,0.18963,2.0697,1.783,1.9483,1.8841,2.2133,1.9077,0.0019755,0.0019755,0.0019755
4,1.9783,1.3644,1.7898,1.9078,1.7591,1.7361,0.65351,0.63894,0.67739,0.31877,1.7786,1.2528,1.7418,1.6931,1.5325,1.6968,0.0019704,0.0019704,0.0019704
5,1.948,1.3349,1.7567,1.8934,1.6671,1.7041,0.67012,0.6268,0.69333,0.32368,1.7984,1.2452,1.7339,1.7293,1.4527,1.697,0.0019704,0.0019704,0.0019704
6,1.8944,1.2395,1.7098,1.8521,1.5324,1.6532,0.66541,0.61466,0.65938,0.32122,1.7873,1.2782,1.7351,1.7145,1.4967,1.6533,0.0019606,0.0019606,0.0019606
7,1.8566,1.2096,1.6833,1.8465,1.4533,1.6443,0.66509,0.69829,0.72994,0.34567,1.7188,1.1617,1.672,1.6843,1.3194,1.635,0.0019507,0.0019507,0.0019507
8,1.8273,1.1845,1.6617,1.817,1.4178,1.6321,0.72022,0.69563,0.75159,0.37067,1.6883,1.1332,1.638,1.6628,1.2609,1.6373,0.0019409,0.0019409,0.0019409
9,1.775,1.1428,1.622,1.7759,1.3683,1.5932,0.72769,0.72392,0.78228,0.39626,1.6403,1.0652,1.6186,1.6469,1.1423,1.5911,0.001931,0.001931,0.001931
10,1.7658,1.0983,1.6075,1.777,1.2934,1.5873,0.74055,0.73201,0.80346,0.40417,1.6066,1.0515,1.5733,1.5945,1.1583,1.5683,0.0019212,0.0019212,0.0019212
11,1.7553,1.1032,1.5938,1.7754,1.2647,1.5793,0.72105,0.73786,0.79062,0.40926,1.5571,1.0728,1.5616,1.549,1.2008,1.5361,0.0019113,0.0019113,0.0019113
12,1.7281,1.0667,1.5784,1.7399,1.2435,1.561,0.70259,0.70189,0.7661,0.39801,1.626,1.062,1.6088,1.6226,1.153,1.571,0.0019015,0.0019015,0.0019015
13,1.7253,1.0572,1.5694,1.7462,1.2176,1.5563,0.76228,0.74191,0.81572,0.43009,1.593,0.96855,1.5553,1.5842,1.0101,1.5322,0.0018916,0.0018916,0.0018916
14,1.7013,1.0456,1.5578,1.718,1.2058,1.5414,0.77457,0.73848,0.81766,0.42858,1.5733,0.94893,1.5486,1.5725,1.0305,1.5387,0.0018818,0.0018818,0.0018818
15,1.7104,1.0316,1.5572,1.7314,1.1764,1.547,0.7763,0.75135,0.82885,0.43112,1.5865,0.99185,1.5688,1.5871,1.0095,1.5431,0.0018719,0.0018719,0.0018719
16,1.6974,1.0192,1.551,1.7085,1.1785,1.5244,0.7641,0.73156,0.81873,0.44329,1.5204,0.96883,1.5219,1.5169,1.0245,1.5103,0.0018621,0.0018621,0.0018621
17,1.6565,0.98947,1.5179,1.6872,1.1239,1.5105,0.76419,0.7577,0.83398,0.45747,1.5305,0.89418,1.5155,1.5048,0.94429,1.4863,0.0018522,0.0018522,0.0018522
18,1.6704,0.99714,1.534,1.6979,1.1428,1.526,0.7811,0.75989,0.8361,0.44872,1.5312,0.91198,1.5289,1.5381,0.9454,1.5173,0.0018424,0.0018424,0.0018424
19,1.6411,0.97841,1.5076,1.6698,1.1137,1.4982,0.7773,0.74703,0.83256,0.45825,1.523,0.9162,1.5091,1.5103,0.94899,1.4876,0.0018325,0.0018325,0.0018325
20,1.6413,0.9774,1.5211,1.671,1.1078,1.5152,0.75374,0.77968,0.83727,0.44801,1.499,0.93441,1.5062,1.5063,0.97581,1.5055,0.0018227,0.0018227,0.0018227
21,1.6439,0.97282,1.5158,1.6784,1.0955,1.5089,0.80522,0.73561,0.83669,0.45944,1.5194,0.92143,1.5024,1.5039,0.97231,1.4705,0.0018128,0.0018128,0.0018128
22,1.6336,0.95454,1.5029,1.6666,1.0738,1.4944,0.80705,0.7711,0.84848,0.45578,1.5116,0.88758,1.5158,1.5196,0.93063,1.5104,0.001803,0.001803,0.001803
23,1.6184,0.94977,1.4912,1.6493,1.0806,1.4841,0.78971,0.76574,0.84044,0.46089,1.513,0.88058,1.5057,1.5209,0.92542,1.4914,0.0017931,0.0017931,0.0017931
24,1.6143,0.93661,1.4853,1.6549,1.0501,1.4774,0.77872,0.75638,0.8298,0.45458,1.4894,0.91819,1.497,1.5054,0.94596,1.4834,0.0017833,0.0017833,0.0017833
25,1.6013,0.93173,1.4779,1.6465,1.0366,1.4794,0.81979,0.77068,0.86571,0.47433,1.4818,0.85581,1.4907,1.5139,0.85033,1.4948,0.0017734,0.0017734,0.0017734
26,1.6036,0.90922,1.4823,1.6506,1.0111,1.4814,0.80462,0.77585,0.86568,0.4707,1.4821,0.85092,1.4685,1.4916,0.87397,1.4716,0.0017636,0.0017636,0.0017636
27,1.6055,0.9204,1.4833,1.6417,1.0355,1.4742,0.79875,0.79182,0.8611,0.47763,1.4806,0.83383,1.4788,1.4862,0.85986,1.4733,0.0017537,0.0017537,0.0017537
28,1.5693,0.89118,1.4604,1.6159,0.97682,1.463,0.78503,0.79145,0.86101,0.46978,1.514,0.83877,1.4784,1.5179,0.85761,1.4818,0.0017439,0.0017439,0.0017439
29,1.5871,0.90228,1.4762,1.6293,0.99954,1.4719,0.78338,0.80166,0.86294,0.47358,1.4888,0.86571,1.4955,1.4897,0.88002,1.4803,0.001734,0.001734,0.001734
30,1.573,0.89258,1.4568,1.6196,0.98777,1.4616,0.80258,0.77322,0.85864,0.48515,1.4673,0.84879,1.4631,1.4749,0.87229,1.4626,0.0017242,0.0017242,0.0017242
31,1.5626,0.88125,1.458,1.5957,0.96498,1.4558,0.75477,0.77383,0.82854,0.46049,1.5015,0.88737,1.4854,1.4994,0.92813,1.4625,0.0017143,0.0017143,0.0017143
32,1.5488,0.88332,1.4471,1.5946,0.97285,1.4494,0.80103,0.78058,0.85666,0.47509,1.4637,0.86215,1.47,1.5007,0.87626,1.4704,0.0017045,0.0017045,0.0017045
33,1.5571,0.87519,1.4541,1.5931,0.98139,1.4428,0.80901,0.79421,0.87366,0.48526,1.4572,0.84572,1.4539,1.4861,0.83459,1.4563,0.0016946,0.0016946,0.0016946
34,1.5489,0.87063,1.4296,1.5905,0.94543,1.4259,0.81164,0.78857,0.87058,0.48565,1.4374,0.82384,1.442,1.4639,0.83975,1.4449,0.0016848,0.0016848,0.0016848
35,1.5468,0.85387,1.4349,1.596,0.92293,1.431,0.81122,0.81025,0.88967,0.49514,1.4466,0.80594,1.4469,1.4736,0.79927,1.4367,0.0016749,0.0016749,0.0016749
36,1.5326,0.85499,1.4329,1.577,0.93585,1.4332,0.81984,0.80261,0.88421,0.49548,1.4425,0.82024,1.4413,1.473,0.80774,1.46,0.0016651,0.0016651,0.0016651
37,1.5276,0.85537,1.4313,1.5763,0.93131,1.4403,0.83874,0.80665,0.88989,0.50147,1.4341,0.80785,1.4372,1.4587,0.78851,1.455,0.0016552,0.0016552,0.0016552
38,1.5441,0.84003,1.4315,1.5883,0.91154,1.442,0.83531,0.79451,0.88156,0.49079,1.479,0.82038,1.462,1.4798,0.80452,1.4746,0.0016454,0.0016454,0.0016454
39,1.5264,0.83967,1.4271,1.5739,0.9099,1.4447,0.7873,0.81718,0.87555,0.49625,1.4511,0.83097,1.4522,1.4689,0.81961,1.4692,0.0016355,0.0016355,0.0016355
40,1.5381,0.84256,1.4285,1.5842,0.90872,1.4358,0.83711,0.78822,0.88245,0.50408,1.4435,0.78372,1.4385,1.4634,0.77403,1.4416,0.0016257,0.0016257,0.0016257
