                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.2847,2.7023,3.3154,3.0196,4.5903,3.2182,0.36294,0.1241,0.11801,0.04357,3.0774,2.988,2.9832,2.6644,4.0143,2.73,0.00066184,0.00066184,0.00066184
2,2.2306,1.5457,2.1001,2.0976,2.2055,1.9268,0.54046,0.58723,0.55537,0.25656,1.9584,1.4276,1.9968,1.8022,1.8397,1.8485,0.001322,0.001322,0.001322
3,2.0299,1.3663,1.8929,1.9562,1.8067,1.7967,0.60079,0.63804,0.6429,0.2983,1.8765,1.4025,1.8999,1.7239,1.6738,1.7905,0.0019755,0.0019755,0.0019755
4,1.9604,1.273,1.8298,1.9304,1.5755,1.7609,0.67425,0.63938,0.69543,0.33206,1.8402,1.2878,1.8628,1.7662,1.4265,1.7799,0.0019704,0.0019704,0.0019704
5,1.9025,1.2211,1.7696,1.8705,1.4994,1.7086,0.67383,0.64344,0.70849,0.32306,1.8096,1.1573,1.8284,1.755,1.3566,1.7582,0.0019704,0.0019704,0.0019704
6,1.8526,1.144,1.7245,1.8288,1.3776,1.6709,0.69447,0.66996,0.73829,0.37709,1.6743,1.0886,1.7371,1.6245,1.2358,1.6484,0.0019606,0.0019606,0.0019606
7,1.8049,1.1125,1.7032,1.7938,1.3314,1.6504,0.73228,0.71763,0.78023,0.39272,1.6757,1.0526,1.7456,1.6521,1.1366,1.7029,0.0019507,0.0019507,0.0019507
8,1.8024,1.0962,1.6921,1.8097,1.2896,1.6558,0.74158,0.74011,0.81327,0.40678,1.6476,1.048,1.721,1.6325,1.139,1.6763,0.0019409,0.0019409,0.0019409
9,1.7458,1.052,1.6558,1.7521,1.2344,1.6182,0.74374,0.7455,0.80279,0.39946,1.6401,1.028,1.6924,1.6492,1.1148,1.6749,0.001931,0.001931,0.001931
10,1.7505,1.0272,1.6415,1.7631,1.187,1.6183,0.73794,0.73876,0.79709,0.39984,1.6244,1.0093,1.6726,1.6543,1.0585,1.6845,0.0019212,0.0019212,0.0019212
11,1.7201,1.0173,1.6267,1.742,1.1723,1.6031,0.72821,0.77833,0.81553,0.43211,1.5983,0.95702,1.6545,1.5936,1.0146,1.6276,0.0019113,0.0019113,0.0019113
12,1.6842,0.98862,1.5995,1.716,1.1133,1.5917,0.74681,0.70683,0.77889,0.42416,1.5369,1.0005,1.6185,1.5536,1.0901,1.6143,0.0019015,0.0019015,0.0019015
13,1.6661,0.97508,1.592,1.6929,1.1174,1.5804,0.77395,0.74595,0.82988,0.44476,1.5448,0.92256,1.6243,1.5481,0.9941,1.6086,0.0018916,0.0018916,0.0018916
14,1.6548,0.96197,1.5784,1.6853,1.1007,1.5637,0.79891,0.76169,0.84237,0.44169,1.5526,0.90071,1.6233,1.5424,0.95136,1.607,0.0018818,0.0018818,0.0018818
15,1.6681,0.94381,1.5814,1.6954,1.0756,1.5634,0.7932,0.75883,0.83713,0.4373,1.611,0.92583,1.6514,1.5983,0.96175,1.6244,0.0018719,0.0018719,0.0018719
16,1.6356,0.9398,1.5682,1.6638,1.0727,1.553,0.76999,0.76013,0.83414,0.46318,1.4828,0.8843,1.5796,1.4888,0.93026,1.5556,0.0018621,0.0018621,0.0018621
17,1.6021,0.9097,1.5362,1.6371,1.0146,1.516,0.77478,0.76411,0.83831,0.46001,1.5212,0.87896,1.5988,1.5217,0.92696,1.5737,0.0018522,0.0018522,0.0018522
18,1.6272,0.91995,1.5644,1.6658,1.0315,1.5532,0.79161,0.77373,0.85134,0.4588,1.5178,0.88094,1.5899,1.5474,0.92138,1.5756,0.0018424,0.0018424,0.0018424
19,1.5838,0.88969,1.5345,1.6173,0.98664,1.5208,0.78083,0.79856,0.86503,0.47788,1.5117,0.83529,1.5892,1.519,0.83851,1.5742,0.0018325,0.0018325,0.0018325
20,1.5861,0.88696,1.5445,1.6269,0.98761,1.5363,0.77412,0.80439,0.865,0.47584,1.4961,0.83982,1.5721,1.4963,0.86852,1.5531,0.0018227,0.0018227,0.0018227
21,1.5799,0.88381,1.5397,1.6188,0.97646,1.54,0.82159,0.7554,0.85375,0.46986,1.5152,0.87774,1.5851,1.5293,0.89015,1.5894,0.0018128,0.0018128,0.0018128
22,1.5716,0.86776,1.522,1.6098,0.9579,1.5172,0.80722,0.78372,0.86724,0.48841,1.4698,0.84881,1.5567,1.4755,0.83705,1.5487,0.001803,0.001803,0.001803
23,1.5613,0.86209,1.5233,1.6082,0.94583,1.5169,0.79872,0.82959,0.88147,0.4921,1.4565,0.81246,1.555,1.4711,0.81142,1.551,0.0017931,0.0017931,0.0017931
24,1.5472,0.85322,1.5046,1.5961,0.92633,1.5037,0.81476,0.76535,0.86698,0.48138,1.497,0.84369,1.5743,1.5001,0.84706,1.5645,0.0017833,0.0017833,0.0017833
25,1.5297,0.8406,1.4916,1.5857,0.9116,1.4963,0.8405,0.81033,0.89443,0.50681,1.4293,0.78592,1.5253,1.4528,0.7679,1.5221,0.0017734,0.0017734,0.0017734
26,1.544,0.84219,1.5004,1.5892,0.92571,1.498,0.78589,0.83014,0.8754,0.49487,1.4373,0.82307,1.5234,1.469,0.80574,1.5257,0.0017636,0.0017636,0.0017636
27,1.5388,0.84126,1.5056,1.5883,0.90255,1.5082,0.81498,0.80576,0.88053,0.48311,1.4856,0.81751,1.5833,1.5298,0.78614,1.5992,0.0017537,0.0017537,0.0017537
28,1.5185,0.82601,1.4879,1.5734,0.8915,1.4934,0.83148,0.80091,0.8849,0.50506,1.4226,0.79415,1.5068,1.4544,0.77212,1.5057,0.0017439,0.0017439,0.0017439
29,1.5184,0.8255,1.4914,1.5704,0.8769,1.4958,0.78296,0.80441,0.86449,0.46768,1.5277,0.84764,1.598,1.549,0.85038,1.5944,0.001734,0.001734,0.001734
30,1.4953,0.81167,1.4758,1.5517,0.87341,1.4795,0.81969,0.81763,0.88907,0.51365,1.4138,0.78314,1.5088,1.4224,0.79003,1.4996,0.0017242,0.0017242,0.0017242
31,1.4928,0.80053,1.4739,1.5408,0.85553,1.4754,0.79589,0.79598,0.86753,0.48662,1.4548,0.82542,1.545,1.4799,0.83572,1.531,0.0017143,0.0017143,0.0017143
