                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2877,                 2.7035,                 3.2777,                 3.0417,                 4.2218,                 3.1804,                0.60275,                0.11466,                0.17778,                0.05913,                 2.5293,                 2.7988,                 3.7586,                 2.2992,                 3.4656,                 3.3548,             0.00066184,             0.00066184,             0.00066184
                      2,                  2.244,                  1.546,                 2.1091,                 2.1211,                 1.9478,                 1.9491,                0.50789,                0.51484,                0.49677,                 0.2146,                 2.0418,                 1.5477,                 2.1353,                 1.9111,                 1.8158,                 2.0053,               0.001322,               0.001322,               0.001322
                      3,                 2.0584,                  1.337,                 1.9199,                 2.0021,                 1.6491,                 1.8263,                0.59086,                0.54406,                0.54828,                0.25289,                 1.9347,                  1.676,                 1.9872,                 1.9279,                 1.9821,                 1.9643,              0.0019755,              0.0019755,              0.0019755
                      4,                 1.9389,                  1.267,                 1.8266,                  1.929,                 1.5156,                 1.7579,                0.68398,                0.68885,                0.73078,                0.35247,                 1.7137,                 1.1327,                 1.7778,                 1.7391,                 1.2028,                 1.7267,              0.0019704,              0.0019704,              0.0019704
                      5,                 1.8876,                 1.2142,                  1.768,                  1.888,                 1.4212,                 1.7108,                0.66774,                0.68795,                0.71491,                0.33497,                 1.7495,                 1.2201,                 1.8233,                 1.7194,                 1.3091,                 1.7509,              0.0019704,              0.0019704,              0.0019704
                      6,                 1.8266,                 1.1581,                 1.7243,                 1.8393,                  1.356,                 1.6756,                0.72243,                0.69981,                0.76304,                0.38386,                 1.6378,                 1.0943,                 1.7425,                  1.615,                 1.2338,                 1.6609,              0.0019606,              0.0019606,              0.0019606
                      7,                 1.7912,                 1.1147,                 1.7046,                 1.8091,                 1.3072,                 1.6573,                0.72473,                0.72482,                0.78437,                0.40082,                 1.6376,                 1.0295,                 1.7063,                 1.6201,                 1.1092,                  1.657,              0.0019507,              0.0019507,              0.0019507
                      8,                 1.7722,                 1.1054,                 1.6786,                 1.7967,                 1.3014,                 1.6518,                0.70524,                0.69469,                0.75573,                0.36062,                 1.7049,                  1.077,                 1.7503,                 1.7183,                 1.1863,                 1.7319,              0.0019409,              0.0019409,              0.0019409
                      9,                 1.7247,                 1.0582,                 1.6469,                 1.7512,                 1.2263,                 1.6235,                0.75859,                0.72887,                0.81392,                0.42335,                 1.5834,                0.97622,                 1.6732,                 1.5878,                 1.0573,                 1.6513,               0.001931,               0.001931,               0.001931
                     10,                  1.715,                 1.0196,                 1.6262,                 1.7369,                 1.1744,                 1.5946,                0.77579,                0.73696,                0.82401,                 0.4387,                 1.5405,                 0.9396,                  1.624,                 1.5582,                0.95836,                 1.5939,              0.0019212,              0.0019212,              0.0019212
                     11,                 1.6898,                 1.0179,                 1.6123,                  1.723,                 1.1668,                 1.5798,                0.74798,                0.75854,                0.82387,                 0.4372,                 1.5518,                0.99588,                 1.6153,                 1.5482,                  1.046,                 1.5851,              0.0019113,              0.0019113,              0.0019113
                     12,                 1.6568,                0.98443,                 1.5893,                 1.7003,                  1.122,                 1.5671,                0.76637,                0.76169,                0.83737,                0.45132,                 1.5344,                0.95516,                 1.6222,                 1.5253,                0.97522,                  1.564,              0.0019015,              0.0019015,              0.0019015
                     13,                 1.6612,                0.98255,                 1.5903,                 1.6934,                 1.1078,                 1.5659,                0.79362,                0.73657,                0.83218,                0.44558,                 1.5847,                0.90283,                  1.652,                  1.577,                0.92709,                 1.6032,              0.0018916,              0.0018916,              0.0018916
                     14,                 1.6455,                0.95475,                 1.5746,                 1.6835,                 1.0905,                 1.5475,                0.76961,                0.75135,                0.83115,                0.44287,                 1.5287,                 0.9571,                 1.5965,                 1.5406,                 1.0037,                 1.5649,              0.0018818,              0.0018818,              0.0018818
                     15,                 1.6486,                0.95185,                  1.569,                 1.6851,                 1.0704,                 1.5459,                0.78713,                0.73821,                0.82184,                0.43885,                 1.5625,                0.91926,                 1.6136,                 1.5416,                0.97171,                  1.569,              0.0018719,              0.0018719,              0.0018719
                     16,                 1.6259,                0.93485,                 1.5608,                  1.664,                 1.0519,                 1.5425,                0.79575,                0.78128,                0.86106,                0.47893,                 1.4759,                0.85471,                 1.5593,                 1.4848,                0.88623,                 1.5401,              0.0018621,              0.0018621,              0.0018621
                     17,                 1.5808,                0.91048,                 1.5266,                 1.6209,                 1.0022,                  1.511,                 0.8033,                0.75629,                0.84867,                0.46481,                 1.4957,                0.88125,                 1.5708,                 1.5118,                0.90784,                 1.5475,              0.0018522,              0.0018522,              0.0018522
                     18,                 1.5999,                0.91248,                 1.5497,                 1.6473,                 1.0078,                 1.5436,                0.80225,                0.76079,                0.84939,                0.45976,                 1.5296,                0.87651,                 1.6034,                 1.5318,                0.90351,                 1.5888,              0.0018424,              0.0018424,              0.0018424
                     19,                 1.5653,                0.89094,                 1.5218,                 1.6031,                0.98606,                 1.5056,                0.77532,                0.77788,                0.83774,                0.45998,                 1.4957,                0.88915,                 1.5729,                 1.5276,                0.93006,                 1.5672,              0.0018325,              0.0018325,              0.0018325
                     20,                 1.5613,                0.88786,                 1.5278,                 1.6167,                0.98031,                 1.5138,                0.78718,                0.80396,                0.87039,                0.47167,                 1.5058,                0.86448,                 1.5785,                 1.5217,                0.87169,                 1.5567,              0.0018227,              0.0018227,              0.0018227
                     21,                 1.5659,                0.87914,                 1.5245,                 1.6236,                0.96295,                 1.5113,                0.79219,                0.79541,                0.86928,                0.48467,                 1.4514,                0.83306,                 1.5391,                 1.4793,                0.84069,                 1.5337,              0.0018128,              0.0018128,              0.0018128
                     22,                 1.5495,                0.86748,                 1.5056,                 1.5989,                0.94808,                 1.4998,                 0.8276,                0.78507,                0.88103,                0.49695,                  1.457,                0.79859,                 1.5383,                  1.473,                0.78699,                 1.5261,               0.001803,               0.001803,               0.001803
                     23,                 1.5469,                0.86326,                 1.5047,                 1.5987,                0.94455,                 1.4868,                0.83519,                0.79811,                0.88489,                0.49722,                 1.4609,                0.78977,                 1.5445,                 1.4783,                0.78547,                 1.5232,              0.0017931,              0.0017931,              0.0017931
                     24,                 1.5188,                0.83488,                 1.4841,                 1.5764,                0.90712,                  1.479,                0.82006,                0.79586,                0.86886,                0.49166,                 1.4462,                0.82917,                  1.529,                 1.4631,                0.81281,                 1.5211,              0.0017833,              0.0017833,              0.0017833
                     25,                 1.5071,                0.82934,                 1.4741,                  1.571,                 0.8862,                 1.4756,                 0.8631,                0.78642,                0.89525,                0.50144,                 1.4588,                0.76775,                 1.5338,                 1.4725,                0.75954,                 1.5251,              0.0017734,              0.0017734,              0.0017734
                     26,                 1.5145,                0.82673,                 1.4796,                 1.5799,                0.90399,                 1.4819,                0.81176,                0.82509,                0.88766,                 0.5017,                 1.4321,                0.78694,                 1.5086,                 1.4547,                0.78395,                 1.4966,              0.0017636,              0.0017636,              0.0017636
