               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10925,            0.070146,                   0,           0.0065817,             0.41817,           0.0057201,           0.0016093,             0.10132,             0.05789,                   0,            0.070857,           0.0032381,           0.0032381
                   1,            0.099609,             0.07694,                   0,           0.0075018,             0.47662,           0.0073395,           0.0018456,            0.089815,            0.066498,                   0,            0.040825,           0.0065391,           0.0065391
                   2,            0.089152,            0.088064,                   0,           0.0078556,              0.4991,           0.0070379,           0.0016974,            0.078235,            0.075047,                   0,             0.01076,           0.0098072,           0.0098072
                   3,            0.077603,            0.069711,                   0,            0.004058,             0.18885,           0.0026227,          0.00058015,             0.12317,               1.119,                   0,           0.0098522,           0.0098522,           0.0098522
                   4,            0.063374,            0.060984,                   0,             0.38364,             0.59083,             0.32256,             0.08395,            0.070198,            0.061334,                   0,           0.0098522,           0.0098522,           0.0098522
                   5,            0.056009,             0.06004,                   0,             0.68435,             0.62975,             0.63058,             0.23861,             0.05297,            0.082877,                   0,            0.009803,            0.009803,            0.009803
                   6,            0.051178,            0.055438,                   0,             0.78245,             0.79227,             0.82342,             0.35009,            0.045218,            0.042371,                   0,           0.0097537,           0.0097537,           0.0097537
                   7,            0.049238,            0.053871,                   0,             0.81648,             0.76818,             0.83415,             0.35816,            0.044826,            0.042258,                   0,           0.0097045,           0.0097045,           0.0097045
                   8,            0.046815,            0.053844,                   0,             0.82186,             0.80621,             0.85675,              0.3951,            0.040455,            0.041302,                   0,           0.0096552,           0.0096552,           0.0096552
                   9,            0.044954,            0.052651,                   0,             0.83283,             0.84227,             0.88271,             0.42433,            0.039716,            0.040854,                   0,            0.009606,            0.009606,            0.009606
                  10,            0.043659,            0.051266,                   0,             0.80639,             0.73973,             0.80057,             0.33522,             0.04537,             0.04261,                   0,           0.0095567,           0.0095567,           0.0095567
                  11,            0.042793,            0.050973,                   0,             0.87547,             0.78597,             0.86782,             0.44251,            0.038886,            0.042032,                   0,           0.0095075,           0.0095075,           0.0095075
                  12,            0.041629,            0.049221,                   0,             0.88026,             0.84038,             0.90459,             0.45753,            0.036853,            0.039505,                   0,           0.0094582,           0.0094582,           0.0094582
                  13,            0.040915,            0.050191,                   0,             0.85167,              0.8184,             0.88135,             0.43079,            0.039167,            0.042763,                   0,            0.009409,            0.009409,            0.009409
                  14,            0.040558,            0.050095,                   0,             0.81947,              0.8071,             0.84745,             0.34966,            0.042026,            0.044933,                   0,           0.0093597,           0.0093597,           0.0093597
                  15,            0.039916,            0.049133,                   0,             0.86394,             0.85477,             0.91652,             0.46093,            0.036348,            0.039053,                   0,           0.0093104,           0.0093104,           0.0093104
                  16,            0.039544,            0.047614,                   0,             0.86813,             0.85252,             0.90485,             0.45789,            0.036594,            0.038467,                   0,           0.0092612,           0.0092612,           0.0092612
                  17,             0.03928,            0.048475,                   0,             0.85598,             0.84667,             0.89375,             0.41554,            0.038946,            0.038568,                   0,           0.0092119,           0.0092119,           0.0092119
                  18,            0.038851,            0.048672,                   0,             0.87389,             0.85685,             0.90716,             0.48011,            0.035163,             0.03896,                   0,           0.0091627,           0.0091627,           0.0091627
                  19,            0.038598,            0.046591,                   0,             0.88877,             0.86286,             0.92397,             0.50033,             0.03441,            0.037611,                   0,           0.0091134,           0.0091134,           0.0091134
                  20,            0.037677,            0.047467,                   0,             0.89166,             0.86591,             0.92329,             0.47635,            0.035594,            0.037877,                   0,           0.0090642,           0.0090642,           0.0090642
                  21,            0.038233,            0.046334,                   0,             0.85874,              0.8528,             0.90421,              0.4645,             0.03702,            0.038849,                   0,           0.0090149,           0.0090149,           0.0090149
                  22,            0.037289,            0.045933,                   0,             0.86485,             0.83729,             0.89267,             0.45675,            0.036737,            0.039487,                   0,           0.0089657,           0.0089657,           0.0089657
                  23,            0.036837,            0.047221,                   0,             0.81928,             0.78552,             0.82802,             0.37921,            0.043093,            0.042821,                   0,           0.0089164,           0.0089164,           0.0089164
                  24,            0.036133,            0.045509,                   0,             0.88249,             0.87124,             0.92916,             0.50848,            0.033529,            0.037432,                   0,           0.0088672,           0.0088672,           0.0088672
                  25,             0.03615,            0.046225,                   0,              0.8777,             0.88418,             0.92927,             0.50263,            0.034093,             0.03784,                   0,           0.0088179,           0.0088179,           0.0088179
                  26,            0.036105,            0.046056,                   0,             0.89127,             0.88174,             0.93732,             0.51518,            0.033097,            0.037109,                   0,           0.0087687,           0.0087687,           0.0087687
                  27,            0.035736,            0.044683,                   0,             0.81061,             0.79946,             0.84528,             0.39125,            0.042041,             0.04474,                   0,           0.0087194,           0.0087194,           0.0087194
                  28,            0.035531,            0.045258,                   0,             0.88702,             0.87095,             0.92056,              0.4865,            0.035295,            0.037365,                   0,           0.0086701,           0.0086701,           0.0086701
                  29,            0.035648,            0.045307,                   0,             0.89815,             0.88624,             0.94187,             0.52712,            0.033195,            0.036233,                   0,           0.0086209,           0.0086209,           0.0086209
                  30,            0.035077,             0.04481,                   0,             0.87305,             0.89055,              0.9323,             0.50664,            0.033913,            0.036841,                   0,           0.0085716,           0.0085716,           0.0085716
                  31,            0.034508,            0.043712,                   0,             0.87197,             0.88219,             0.92167,             0.45466,            0.036631,            0.038167,                   0,           0.0085224,           0.0085224,           0.0085224
                  32,            0.034377,             0.04486,                   0,             0.89513,             0.88759,             0.94134,             0.52363,             0.03306,            0.036868,                   0,           0.0084731,           0.0084731,           0.0084731
                  33,            0.034101,            0.042037,                   0,             0.82905,             0.83082,             0.87459,             0.44826,            0.036973,            0.042506,                   0,           0.0084239,           0.0084239,           0.0084239
                  34,            0.033847,            0.043832,                   0,               0.888,             0.89658,             0.93739,             0.51907,            0.032573,            0.036373,                   0,           0.0083746,           0.0083746,           0.0083746
                  35,            0.034172,            0.043236,                   0,             0.90501,             0.87818,              0.9423,             0.52934,            0.032691,             0.03643,                   0,           0.0083254,           0.0083254,           0.0083254
                  36,            0.033717,            0.042654,                   0,             0.87151,             0.86061,             0.90706,             0.46775,            0.036992,            0.037568,                   0,           0.0082761,           0.0082761,           0.0082761
                  37,            0.033502,            0.042638,                   0,             0.89365,             0.88085,              0.9304,             0.52973,            0.032742,            0.037246,                   0,           0.0082269,           0.0082269,           0.0082269
                  38,             0.03325,             0.04258,                   0,             0.85313,             0.84667,             0.88778,             0.45188,            0.037322,            0.040584,                   0,           0.0081776,           0.0081776,           0.0081776
                  39,             0.03238,            0.042478,                   0,             0.89897,             0.86825,             0.93052,             0.51282,            0.033889,            0.036875,                   0,           0.0081284,           0.0081284,           0.0081284
                  40,            0.032828,             0.04251,                   0,             0.91058,             0.89748,              0.9484,             0.55732,            0.031517,            0.034917,                   0,           0.0080791,           0.0080791,           0.0080791
                  41,            0.032671,            0.042164,                   0,             0.90185,             0.90482,             0.95175,             0.55077,              0.0314,            0.035271,                   0,           0.0080299,           0.0080299,           0.0080299
                  42,            0.032353,            0.041148,                   0,             0.91363,             0.88466,             0.94561,             0.54105,            0.032406,            0.035373,                   0,           0.0079806,           0.0079806,           0.0079806
                  43,            0.031972,            0.040687,                   0,             0.88321,             0.90018,             0.94555,             0.54101,            0.031984,            0.035672,                   0,           0.0079313,           0.0079313,           0.0079313
                  44,            0.031508,            0.041428,                   0,             0.89968,             0.89515,             0.94609,             0.53743,            0.032017,            0.035754,                   0,           0.0078821,           0.0078821,           0.0078821
                  45,            0.031489,            0.040514,                   0,             0.92663,             0.90018,             0.95351,             0.56806,             0.03073,            0.034693,                   0,           0.0078328,           0.0078328,           0.0078328
                  46,            0.031336,            0.040874,                   0,             0.89675,             0.90917,              0.9529,             0.56358,            0.030767,            0.035376,                   0,           0.0077836,           0.0077836,           0.0077836
                  47,            0.030839,            0.039152,                   0,             0.89446,             0.89793,             0.93665,             0.55017,            0.031336,            0.035603,                   0,           0.0077343,           0.0077343,           0.0077343
                  48,            0.030986,            0.039901,                   0,             0.93329,             0.89344,             0.95309,             0.56682,            0.030509,            0.034428,                   0,           0.0076851,           0.0076851,           0.0076851
                  49,            0.031014,            0.041419,                   0,             0.91032,             0.91745,             0.95996,             0.58367,            0.029621,            0.033728,                   0,           0.0076358,           0.0076358,           0.0076358
                  50,            0.030641,            0.040326,                   0,              0.8954,             0.90065,             0.94815,             0.56076,            0.031065,            0.035038,                   0,           0.0075866,           0.0075866,           0.0075866
                  51,            0.030362,            0.039093,                   0,             0.90829,             0.89064,             0.94417,             0.53572,            0.033034,            0.036175,                   0,           0.0075373,           0.0075373,           0.0075373
                  52,            0.030199,            0.038302,                   0,               0.929,             0.89883,             0.95823,             0.57816,            0.030508,            0.033703,                   0,           0.0074881,           0.0074881,           0.0074881
                  53,            0.030482,            0.039381,                   0,             0.90929,             0.91498,              0.9565,             0.57768,            0.030294,            0.034121,                   0,           0.0074388,           0.0074388,           0.0074388
                  54,            0.030028,            0.038927,                   0,             0.92488,              0.9079,             0.96236,             0.58188,            0.030388,            0.033828,                   0,           0.0073896,           0.0073896,           0.0073896
                  55,            0.029676,            0.039422,                   0,             0.92014,             0.91547,             0.96197,             0.60242,            0.029181,            0.033359,                   0,           0.0073403,           0.0073403,           0.0073403
