               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1065,            0.072404,                   0,           0.0074239,             0.47167,           0.0061862,           0.0016347,             0.09324,            0.064468,                   0,            0.070857,           0.0032381,           0.0032381
                   1,            0.094307,            0.082521,                   0,           0.0076645,             0.48696,           0.0063957,           0.0016304,            0.082251,            0.072832,                   0,            0.040825,           0.0065391,           0.0065391
                   2,            0.083562,            0.078074,                   0,              0.2939,             0.36701,             0.23647,            0.063361,            0.063028,            0.065506,                   0,             0.01076,           0.0098072,           0.0098072
                   3,            0.067426,            0.063871,                   0,             0.27764,             0.29207,             0.17676,            0.045676,            0.078019,              0.1123,                   0,           0.0098522,           0.0098522,           0.0098522
                   4,            0.057246,             0.05897,                   0,             0.66628,             0.70594,             0.67567,             0.23307,            0.053874,            0.065787,                   0,           0.0098522,           0.0098522,           0.0098522
                   5,            0.053184,            0.058706,                   0,             0.28176,             0.23381,             0.15513,            0.058818,             0.07509,            0.090137,                   0,            0.009803,            0.009803,            0.009803
                   6,            0.049723,            0.054735,                   0,             0.79276,             0.78192,             0.81861,             0.32578,            0.045498,            0.042702,                   0,           0.0097537,           0.0097537,           0.0097537
                   7,            0.048148,            0.053385,                   0,               0.776,             0.79856,             0.82743,             0.35887,             0.04355,            0.043799,                   0,           0.0097045,           0.0097045,           0.0097045
                   8,            0.046384,            0.053514,                   0,              0.8154,             0.79844,              0.8448,             0.39255,            0.041764,            0.042401,                   0,           0.0096552,           0.0096552,           0.0096552
                   9,              0.0446,            0.052241,                   0,              0.8338,             0.85162,              0.8836,             0.42683,            0.039078,            0.044716,                   0,            0.009606,            0.009606,            0.009606
                  10,            0.043453,              0.0511,                   0,             0.82849,             0.82753,             0.87233,             0.41374,            0.040483,             0.04136,                   0,           0.0095567,           0.0095567,           0.0095567
                  11,            0.042806,            0.050914,                   0,             0.81715,             0.75809,             0.82781,             0.37711,            0.042741,            0.043431,                   0,           0.0095075,           0.0095075,           0.0095075
                  12,            0.041486,             0.04912,                   0,             0.86078,             0.85836,             0.90247,             0.46045,             0.03721,            0.040149,                   0,           0.0094582,           0.0094582,           0.0094582
                  13,            0.041033,            0.050171,                   0,             0.85781,             0.84091,             0.89906,             0.45358,            0.037239,            0.042842,                   0,            0.009409,            0.009409,            0.009409
                  14,            0.040826,            0.050195,                   0,             0.86139,             0.83049,             0.88478,             0.42712,            0.038658,            0.039922,                   0,           0.0093597,           0.0093597,           0.0093597
