               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098461,            0.080642,                   0,           0.0079901,             0.50764,            0.006485,           0.0015796,            0.081113,            0.072621,                   0,            0.070857,           0.0032381,           0.0032381
                   1,            0.087629,            0.088774,                   0,           0.0078061,             0.49595,           0.0070132,           0.0017803,            0.077049,            0.075552,                   0,            0.040825,           0.0065391,           0.0065391
                   2,            0.080754,            0.078154,                   0,            0.011462,             0.24326,           0.0066065,           0.0020675,            0.090562,             0.69094,                   0,             0.01076,           0.0098072,           0.0098072
                   3,            0.068197,            0.063304,                   0,             0.25362,             0.39433,             0.19909,            0.058839,            0.083658,            0.073393,                   0,           0.0098522,           0.0098522,           0.0098522
                   4,            0.059662,            0.059132,                   0,             0.31942,             0.40827,             0.26138,             0.07906,            0.074378,            0.056677,                   0,           0.0098522,           0.0098522,           0.0098522
                   5,            0.055944,            0.059812,                   0,             0.74281,             0.72723,              0.7427,              0.2991,            0.049898,            0.055801,                   0,            0.009803,            0.009803,            0.009803
                   6,            0.052421,            0.055895,                   0,             0.76269,             0.78777,               0.797,              0.2934,            0.049565,            0.050764,                   0,           0.0097537,           0.0097537,           0.0097537
                   7,             0.05157,            0.054713,                   0,             0.81648,             0.80219,             0.84531,              0.3513,            0.045541,            0.042006,                   0,           0.0097045,           0.0097045,           0.0097045
                   8,            0.049701,            0.054873,                   0,              0.8394,              0.8116,             0.86304,             0.39338,            0.041994,            0.042812,                   0,           0.0096552,           0.0096552,           0.0096552
                   9,            0.047965,            0.054227,                   0,             0.83193,             0.79899,             0.84612,              0.3713,            0.043211,            0.042552,                   0,            0.009606,            0.009606,            0.009606
                  10,            0.046562,            0.053136,                   0,             0.81307,             0.79794,              0.8211,             0.34025,              0.0434,            0.042767,                   0,           0.0095567,           0.0095567,           0.0095567
                  11,            0.046354,            0.052895,                   0,             0.84404,             0.83094,              0.8815,              0.4107,            0.040851,            0.040939,                   0,           0.0095075,           0.0095075,           0.0095075
                  12,             0.04464,             0.05106,                   0,             0.83615,             0.84441,             0.87865,              0.3856,            0.041813,            0.042249,                   0,           0.0094582,           0.0094582,           0.0094582
                  13,             0.04435,            0.052344,                   0,             0.83645,             0.83937,             0.89164,              0.4334,            0.038768,            0.040492,                   0,            0.009409,            0.009409,            0.009409
                  14,            0.044194,            0.052398,                   0,             0.78209,             0.81498,             0.81376,             0.32114,            0.043972,            0.043941,                   0,           0.0093597,           0.0093597,           0.0093597
                  15,            0.043343,            0.051569,                   0,             0.85186,             0.84757,             0.88654,             0.42076,            0.039356,            0.039868,                   0,           0.0093104,           0.0093104,           0.0093104
                  16,            0.042956,            0.049951,                   0,              0.8443,             0.83453,             0.87985,             0.40877,            0.039125,            0.039963,                   0,           0.0092612,           0.0092612,           0.0092612
                  17,            0.042897,            0.051202,                   0,             0.85124,             0.84904,             0.89725,             0.44562,            0.037611,            0.039482,                   0,           0.0092119,           0.0092119,           0.0092119
                  18,            0.042374,            0.051506,                   0,             0.86602,             0.82836,             0.88943,             0.44156,            0.039087,            0.039331,                   0,           0.0091627,           0.0091627,           0.0091627
                  19,            0.042202,             0.04933,                   0,             0.86705,             0.84159,             0.89934,              0.4397,            0.037866,            0.039253,                   0,           0.0091134,           0.0091134,           0.0091134
                  20,            0.041422,            0.050136,                   0,             0.87735,             0.82689,             0.89343,             0.44883,            0.037501,            0.039447,                   0,           0.0090642,           0.0090642,           0.0090642
                  21,            0.041856,            0.049383,                   0,             0.86859,             0.85072,             0.90093,             0.45702,            0.037481,            0.039958,                   0,           0.0090149,           0.0090149,           0.0090149
                  22,            0.041012,            0.049158,                   0,             0.86839,             0.84255,             0.90514,             0.45806,            0.036804,            0.039211,                   0,           0.0089657,           0.0089657,           0.0089657
                  23,             0.04111,            0.050616,                   0,             0.86619,             0.86741,             0.90737,             0.46376,             0.03662,            0.041339,                   0,           0.0089164,           0.0089164,           0.0089164
                  24,            0.040204,             0.04899,                   0,              0.8583,             0.86061,             0.90256,             0.44657,            0.038094,            0.039079,                   0,           0.0088672,           0.0088672,           0.0088672
                  25,            0.040316,            0.049552,                   0,              0.8667,             0.86535,             0.90993,             0.45599,            0.036712,            0.040331,                   0,           0.0088179,           0.0088179,           0.0088179
                  26,             0.04058,            0.049755,                   0,             0.88715,             0.85207,             0.91634,             0.47971,             0.03578,             0.03856,                   0,           0.0087687,           0.0087687,           0.0087687
                  27,            0.039871,            0.048206,                   0,             0.85946,             0.84757,             0.90519,             0.46136,            0.036945,            0.039007,                   0,           0.0087194,           0.0087194,           0.0087194
                  28,            0.039698,            0.049002,                   0,             0.86447,             0.88804,              0.9173,             0.47552,            0.035693,            0.039078,                   0,           0.0086701,           0.0086701,           0.0086701
                  29,            0.039929,            0.049212,                   0,             0.86702,              0.8705,             0.91666,             0.48035,            0.035782,            0.038609,                   0,           0.0086209,           0.0086209,           0.0086209
                  30,            0.039456,            0.048901,                   0,             0.87425,             0.86901,              0.9161,             0.48706,            0.035091,            0.037899,                   0,           0.0085716,           0.0085716,           0.0085716
                  31,            0.039172,            0.047795,                   0,             0.86122,             0.87635,             0.91597,             0.44931,            0.037846,            0.038855,                   0,           0.0085224,           0.0085224,           0.0085224
                  32,            0.039266,            0.049329,                   0,             0.87902,              0.8625,             0.92205,             0.48511,            0.035425,            0.037914,                   0,           0.0084731,           0.0084731,           0.0084731
                  33,            0.038589,            0.046175,                   0,             0.87699,             0.88156,              0.9271,             0.46864,            0.036091,            0.038185,                   0,           0.0084239,           0.0084239,           0.0084239
                  34,            0.038748,            0.048211,                   0,             0.84887,             0.88646,             0.92111,             0.49258,            0.034716,            0.039578,                   0,           0.0083746,           0.0083746,           0.0083746
                  35,            0.038762,            0.048037,                   0,             0.87757,             0.88634,             0.92916,             0.50285,            0.034364,            0.037714,                   0,           0.0083254,           0.0083254,           0.0083254
                  36,            0.038277,            0.047171,                   0,             0.87581,             0.85656,             0.91687,              0.4883,            0.035155,             0.03798,                   0,           0.0082761,           0.0082761,           0.0082761
                  37,             0.03848,            0.047371,                   0,             0.84959,             0.84322,             0.89855,             0.45602,             0.03739,            0.041112,                   0,           0.0082269,           0.0082269,           0.0082269
                  38,            0.038191,            0.047516,                   0,             0.86658,             0.88894,             0.92611,             0.48756,            0.034861,            0.038586,                   0,           0.0081776,           0.0081776,           0.0081776
