               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10033,            0.078829,                   0,           0.0077282,             0.49101,           0.0062288,           0.0015923,            0.082222,            0.077983,                   0,            0.070857,           0.0032381,           0.0032381
                   1,            0.089017,            0.087619,                   0,           0.0074664,             0.47437,           0.0063418,           0.0016428,            0.077915,            0.081121,                   0,            0.040825,           0.0065391,           0.0065391
                   2,            0.080218,            0.077156,                   0,             0.29663,               0.375,               0.272,            0.079863,            0.061632,            0.066403,                   0,             0.01076,           0.0098072,           0.0098072
                   3,            0.066332,            0.063138,                   0,             0.25781,             0.48696,             0.23004,            0.073129,            0.068844,            0.095801,                   0,           0.0098522,           0.0098522,           0.0098522
                   4,            0.057466,            0.057693,                   0,              0.3897,             0.43353,             0.26457,            0.070865,            0.073041,            0.059241,                   0,           0.0098522,           0.0098522,           0.0098522
                   5,            0.053349,             0.05826,                   0,             0.81111,              0.7482,             0.79962,             0.32683,             0.05069,            0.046302,                   0,            0.009803,            0.009803,            0.009803
                   6,             0.05027,            0.054468,                   0,             0.78567,             0.76394,             0.81233,             0.32199,            0.048059,            0.044394,                   0,           0.0097537,           0.0097537,           0.0097537
                   7,            0.048591,            0.053361,                   0,             0.81885,             0.81879,             0.85868,             0.38374,             0.04324,            0.043241,                   0,           0.0097045,           0.0097045,           0.0097045
                   8,            0.046714,            0.053507,                   0,             0.84068,             0.79496,             0.85445,             0.38276,            0.042041,            0.048194,                   0,           0.0096552,           0.0096552,           0.0096552
                   9,            0.045387,            0.052809,                   0,             0.84504,             0.83859,             0.89319,             0.43252,            0.039513,            0.041524,                   0,            0.009606,            0.009606,            0.009606
                  10,            0.044062,            0.051386,                   0,             0.84232,             0.83107,             0.87406,              0.4095,            0.040185,            0.042024,                   0,           0.0095567,           0.0095567,           0.0095567
                  11,            0.043736,            0.051383,                   0,             0.85936,             0.76664,             0.85191,             0.40801,            0.041148,            0.041864,                   0,           0.0095075,           0.0095075,           0.0095075
                  12,            0.042471,            0.049591,                   0,             0.84836,             0.85881,             0.89407,             0.41163,            0.040105,            0.044298,                   0,           0.0094582,           0.0094582,           0.0094582
                  13,            0.041868,            0.050537,                   0,             0.85213,             0.84982,              0.9043,             0.44905,            0.038128,            0.041788,                   0,            0.009409,            0.009409,            0.009409
                  14,            0.041945,            0.050756,                   0,             0.80501,             0.80935,             0.84178,             0.34473,             0.04333,            0.043785,                   0,           0.0093597,           0.0093597,           0.0093597
                  15,            0.041016,            0.049832,                   0,             0.87705,             0.83363,             0.90666,             0.43322,            0.038866,            0.039847,                   0,           0.0093104,           0.0093104,           0.0093104
                  16,            0.040818,            0.048332,                   0,             0.87557,             0.84263,              0.9044,             0.47518,            0.036927,            0.038957,                   0,           0.0092612,           0.0092612,           0.0092612
                  17,            0.040525,            0.049233,                   0,             0.86398,             0.85701,             0.90859,             0.43975,            0.037854,             0.03981,                   0,           0.0092119,           0.0092119,           0.0092119
                  18,            0.040046,            0.049541,                   0,             0.87724,             0.84038,             0.91082,             0.46347,            0.036764,             0.03987,                   0,           0.0091627,           0.0091627,           0.0091627
                  19,            0.039895,            0.047512,                   0,             0.86342,             0.84704,             0.90978,             0.47989,            0.036072,             0.03876,                   0,           0.0091134,           0.0091134,           0.0091134
                  20,            0.039077,            0.048457,                   0,             0.87831,             0.83993,             0.91092,             0.46192,            0.037305,            0.039412,                   0,           0.0090642,           0.0090642,           0.0090642
                  21,            0.039554,            0.047438,                   0,             0.86477,             0.86601,             0.92125,             0.47836,            0.036491,             0.03909,                   0,           0.0090149,           0.0090149,           0.0090149
                  22,            0.038521,            0.047156,                   0,             0.86881,             0.83673,             0.90086,             0.45883,            0.037018,            0.039116,                   0,           0.0089657,           0.0089657,           0.0089657
                  23,            0.038618,            0.048479,                   0,             0.84016,             0.86265,             0.89883,             0.45174,            0.037662,             0.04229,                   0,           0.0089164,           0.0089164,           0.0089164
                  24,            0.037747,            0.046822,                   0,             0.86007,             0.88988,             0.92666,             0.49403,            0.034974,            0.038125,                   0,           0.0088672,           0.0088672,           0.0088672
                  25,            0.037812,            0.047417,                   0,             0.85063,             0.86548,             0.91252,             0.46196,            0.036547,            0.042533,                   0,           0.0088179,           0.0088179,           0.0088179
                  26,            0.038044,            0.047504,                   0,             0.88884,             0.85566,             0.92593,             0.48835,             0.03511,            0.037526,                   0,           0.0087687,           0.0087687,           0.0087687
                  27,            0.037246,            0.045902,                   0,             0.87914,                0.87,             0.92801,              0.4839,            0.035714,            0.038408,                   0,           0.0087194,           0.0087194,           0.0087194
                  28,            0.037068,            0.046625,                   0,              0.8597,             0.89388,             0.92609,             0.47832,            0.035512,            0.040051,                   0,           0.0086701,           0.0086701,           0.0086701
                  29,            0.037305,             0.04688,                   0,             0.87234,             0.88669,             0.93285,             0.50388,            0.034708,            0.037578,                   0,           0.0086209,           0.0086209,           0.0086209
                  30,            0.036843,            0.046441,                   0,             0.88177,             0.85926,              0.9244,             0.51878,            0.033722,            0.037607,                   0,           0.0085716,           0.0085716,           0.0085716
                  31,             0.03628,            0.045184,                   0,             0.88368,             0.87725,             0.93133,              0.4885,            0.035025,            0.038416,                   0,           0.0085224,           0.0085224,           0.0085224
                  32,            0.036359,            0.046673,                   0,             0.88927,             0.89164,              0.9411,             0.52755,            0.032759,            0.036322,                   0,           0.0084731,           0.0084731,           0.0084731
                  33,             0.03583,             0.04366,                   0,             0.87916,             0.87671,             0.92787,             0.45907,            0.037396,             0.03871,                   0,           0.0084239,           0.0084239,           0.0084239
                  34,            0.035764,            0.045394,                   0,             0.88327,             0.88804,             0.93587,              0.5111,             0.03375,            0.037767,                   0,           0.0083746,           0.0083746,           0.0083746
                  35,            0.035723,            0.045029,                   0,             0.87494,              0.8997,             0.94521,             0.52451,            0.033149,            0.037075,                   0,           0.0083254,           0.0083254,           0.0083254
                  36,            0.035532,            0.044342,                   0,             0.90185,             0.89613,             0.94395,             0.52343,            0.033546,            0.036443,                   0,           0.0082761,           0.0082761,           0.0082761
                  37,             0.03553,            0.044626,                   0,              0.8868,             0.86736,             0.92561,             0.48824,            0.035332,            0.037968,                   0,           0.0082269,           0.0082269,           0.0082269
                  38,            0.035136,            0.044448,                   0,             0.88461,             0.89972,             0.94407,             0.53643,            0.032886,            0.036118,                   0,           0.0081776,           0.0081776,           0.0081776
                  39,            0.034617,             0.04463,                   0,             0.89941,             0.89651,              0.9478,             0.54203,            0.032484,            0.035717,                   0,           0.0081284,           0.0081284,           0.0081284
                  40,            0.035132,            0.044768,                   0,             0.90165,             0.90288,             0.94843,             0.55026,            0.032103,            0.035742,                   0,           0.0080791,           0.0080791,           0.0080791
                  41,            0.034931,            0.044462,                   0,             0.90753,              0.9047,             0.95634,              0.5522,            0.031799,            0.035104,                   0,           0.0080299,           0.0080299,           0.0080299
                  42,             0.03436,            0.043369,                   0,             0.89104,             0.90378,             0.94895,             0.53082,            0.032554,            0.035509,                   0,           0.0079806,           0.0079806,           0.0079806
                  43,            0.034195,            0.043057,                   0,             0.89301,             0.88489,             0.93872,             0.53268,            0.033105,            0.036148,                   0,           0.0079313,           0.0079313,           0.0079313
                  44,            0.033865,            0.043755,                   0,             0.88859,             0.90737,             0.94846,             0.53816,            0.032347,            0.035298,                   0,           0.0078821,           0.0078821,           0.0078821
                  45,            0.034012,            0.042921,                   0,             0.90867,             0.87236,              0.9424,             0.54981,            0.031889,            0.036992,                   0,           0.0078328,           0.0078328,           0.0078328
                  46,            0.033685,            0.043364,                   0,             0.89998,             0.90626,             0.95138,             0.54808,            0.031983,            0.035421,                   0,           0.0077836,           0.0077836,           0.0077836
                  47,            0.033183,            0.041728,                   0,             0.90074,             0.90378,             0.95675,             0.56053,            0.031412,            0.035622,                   0,           0.0077343,           0.0077343,           0.0077343
                  48,            0.033156,            0.042638,                   0,             0.92447,             0.88534,             0.95736,             0.56681,            0.030932,            0.034681,                   0,           0.0076851,           0.0076851,           0.0076851
                  49,             0.03354,            0.044215,                   0,             0.89812,             0.91166,             0.95842,             0.55846,            0.031181,            0.035099,                   0,           0.0076358,           0.0076358,           0.0076358
                  50,            0.033139,            0.043355,                   0,             0.91497,             0.89928,             0.95858,             0.56262,            0.031171,            0.034479,                   0,           0.0075866,           0.0075866,           0.0075866
                  51,            0.033001,            0.041868,                   0,             0.89941,              0.8925,             0.95243,             0.55544,            0.031579,            0.035418,                   0,           0.0075373,           0.0075373,           0.0075373
                  52,            0.033067,            0.041259,                   0,             0.91874,             0.88444,             0.94842,             0.55407,            0.032001,            0.035666,                   0,           0.0074881,           0.0074881,           0.0074881
                  53,            0.032879,            0.042282,                   0,             0.90792,             0.91367,             0.95958,              0.5805,              0.0303,            0.034083,                   0,           0.0074388,           0.0074388,           0.0074388
                  54,            0.032942,            0.042096,                   0,             0.91224,             0.91322,             0.96013,             0.57603,            0.030648,            0.034109,                   0,           0.0073896,           0.0073896,           0.0073896
                  55,            0.032229,            0.042323,                   0,             0.90329,             0.88984,             0.94452,             0.55106,             0.03224,            0.036867,                   0,           0.0073403,           0.0073403,           0.0073403
                  56,             0.03207,            0.042036,                   0,             0.88339,             0.93076,             0.95798,             0.57362,            0.030486,            0.035354,                   0,            0.007291,            0.007291,            0.007291
                  57,            0.032184,            0.041447,                   0,               0.915,             0.91964,             0.96019,             0.56685,            0.031237,            0.034098,                   0,           0.0072418,           0.0072418,           0.0072418
                  58,            0.031871,            0.041245,                   0,             0.92583,             0.89793,             0.95679,             0.58057,             0.03051,             0.03415,                   0,           0.0071925,           0.0071925,           0.0071925
                  59,            0.031452,            0.040865,                   0,             0.90683,             0.91187,             0.95328,             0.57667,            0.030434,            0.034468,                   0,           0.0071433,           0.0071433,           0.0071433
                  60,             0.03172,            0.041027,                   0,             0.91275,              0.9126,             0.96178,             0.56911,            0.030752,            0.034136,                   0,            0.007094,            0.007094,            0.007094
                  61,            0.031324,            0.040438,                   0,             0.90794,             0.91792,             0.96248,             0.58924,            0.030072,            0.033664,                   0,           0.0070448,           0.0070448,           0.0070448
                  62,            0.031721,             0.04149,                   0,             0.92098,             0.90288,             0.95583,             0.57197,            0.031081,            0.035224,                   0,           0.0069955,           0.0069955,           0.0069955
                  63,             0.03141,            0.041111,                   0,             0.91942,             0.92356,             0.96032,              0.5943,             0.02945,            0.033547,                   0,           0.0069463,           0.0069463,           0.0069463
