               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11041,             0.06881,                   0,           0.0057749,             0.36691,           0.0047584,           0.0013607,             0.10591,            0.054076,                   0,            0.070857,           0.0032381,           0.0032381
                   1,             0.10605,            0.070816,                   0,           0.0067374,             0.42806,           0.0053695,           0.0015008,             0.10133,            0.057798,                   0,            0.040825,           0.0065391,           0.0065391
                   2,            0.094728,            0.081248,                   0,           0.0078769,             0.50045,            0.021574,            0.004378,            0.081764,             0.07281,                   0,             0.01076,           0.0098072,           0.0098072
                   3,            0.077995,            0.067311,                   0,           0.0071748,             0.13085,           0.0042162,           0.0010852,                 nan,                 nan,                   0,           0.0098522,           0.0098522,           0.0098522
                   4,            0.064177,            0.059886,                   0,             0.46887,              0.6223,             0.45067,             0.13155,            0.062521,            0.065146,                   0,           0.0098522,           0.0098522,           0.0098522
                   5,            0.057042,            0.059912,                   0,              0.4319,             0.35585,              0.3202,            0.083851,            0.069711,            0.058846,                   0,            0.009803,            0.009803,            0.009803
                   6,            0.051815,            0.055435,                   0,             0.78728,             0.78715,             0.82289,             0.34378,            0.045304,            0.042253,                   0,           0.0097537,           0.0097537,           0.0097537
                   7,            0.049707,            0.053613,                   0,             0.82273,              0.8152,             0.85253,             0.38102,            0.042912,            0.041545,                   0,           0.0097045,           0.0097045,           0.0097045
                   8,            0.047018,            0.053842,                   0,             0.83656,             0.80935,             0.86666,             0.38184,            0.043173,            0.041527,                   0,           0.0096552,           0.0096552,           0.0096552
                   9,            0.045393,            0.052721,                   0,            0.068365,            0.090827,            0.020984,            0.005929,            0.098522,             0.18484,                   0,            0.009606,            0.009606,            0.009606
                  10,             0.04429,             0.05147,                   0,             0.74194,                0.75,             0.76702,             0.33271,            0.045781,            0.051443,                   0,           0.0095567,           0.0095567,           0.0095567
                  11,            0.043206,            0.051161,                   0,             0.84866,             0.79678,             0.87307,             0.43464,            0.038776,            0.040894,                   0,           0.0095075,           0.0095075,           0.0095075
                  12,            0.041748,            0.049157,                   0,             0.84625,             0.83049,             0.88528,             0.42767,            0.038758,            0.040398,                   0,           0.0094582,           0.0094582,           0.0094582
                  13,            0.040983,            0.050004,                   0,             0.83378,             0.84128,             0.88065,             0.41297,            0.039756,            0.041539,                   0,            0.009409,            0.009409,            0.009409
                  14,            0.040753,                0.05,                   0,             0.82867,             0.84597,             0.87308,             0.37065,            0.040267,            0.040283,                   0,           0.0093597,           0.0093597,           0.0093597
