                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,4.3264,3.8957,4.2045,0.00018,0.01169,9.00E-05,2.00E-05,4.1818,3.7329,3.9891,0.070857,0.0032381,0.0032381
2,3.633,3.0453,3.6014,0.00051,0.03237,0.00026,7.00E-05,3.9958,3.7195,3.8459,0.040825,0.0065389,0.0065389
3,2.4421,1.8124,2.4442,0.24325,0.17311,0.14067,0.04819,2.7562,2.9164,2.9756,0.010759,0.0098067,0.0098067
4,2.0994,1.4123,2.0251,0.66082,0.57642,0.62838,0.25499,2.0369,1.7518,2.2952,0.0098515,0.0098515,0.0098515
5,1.9352,1.2433,1.8795,0.77424,0.63996,0.71582,0.35149,1.8476,1.4807,2.0356,0.0098515,0.0098515,0.0098515
6,1.8344,1.1334,1.7922,0.80067,0.75809,0.82472,0.38647,1.7806,1.1716,2.0167,0.009802,0.009802,0.009802
7,1.7572,1.0687,1.7485,0.71007,0.70698,0.7444,0.31245,1.9324,1.3099,2.1713,0.0097525,0.0097525,0.0097525
8,1.7157,1.0261,1.6955,0.7896,0.72752,0.80577,0.38147,1.8064,1.2334,1.9866,0.009703,0.009703,0.009703
9,1.6641,0.99366,1.6792,0.7871,0.74146,0.81958,0.40663,1.7095,1.0783,1.8954,0.0096535,0.0096535,0.0096535
10,1.6247,0.9497,1.654,0.81346,0.79766,0.86134,0.44997,1.5878,0.99423,1.8087,0.009604,0.009604,0.009604
11,1.6005,0.92492,1.6339,0.82485,0.81525,0.88162,0.46442,1.6218,0.91263,1.8074,0.0095545,0.0095545,0.0095545
12,1.6167,0.91331,1.637,0.7994,0.78306,0.83649,0.43311,1.6036,1.0721,1.7886,0.009505,0.009505,0.009505
13,1.5811,0.88963,1.6156,0.82592,0.80576,0.87665,0.46629,1.5718,0.90252,1.7709,0.0094555,0.0094555,0.0094555
14,1.5574,0.86751,1.6035,0.80503,0.79946,0.8658,0.45329,1.5912,0.99212,1.8048,0.009406,0.009406,0.009406
15,1.5343,0.85089,1.5866,0.82822,0.80647,0.8745,0.4616,1.5778,0.96105,1.7785,0.0093565,0.0093565,0.0093565
16,1.5229,0.83847,1.5678,0.81055,0.80755,0.87089,0.47444,1.5848,0.89462,1.7797,0.009307,0.009307,0.009307
17,1.4991,0.8059,1.5491,0.84202,0.84218,0.90165,0.49763,1.5161,0.85262,1.7243,0.0092575,0.0092575,0.0092575
18,1.4973,0.80511,1.5526,0.87731,0.83183,0.91625,0.51824,1.4765,0.79279,1.6929,0.009208,0.009208,0.009208
19,1.4792,0.777,1.5374,0.86881,0.82783,0.91121,0.50642,1.507,0.79353,1.7308,0.0091585,0.0091585,0.0091585
20,1.464,0.77563,1.5328,0.8451,0.85207,0.9085,0.51643,1.4571,0.80988,1.6824,0.009109,0.009109,0.009109
21,1.4448,0.75764,1.4982,0.8538,0.84556,0.91321,0.51063,1.5072,0.77996,1.7228,0.0090595,0.0090595,0.0090595
22,1.424,0.74449,1.4987,0.86066,0.86781,0.92485,0.52779,1.5075,0.74535,1.7051,0.00901,0.00901,0.00901
23,1.4193,0.72915,1.4998,0.87786,0.85881,0.93129,0.55528,1.4227,0.72049,1.6574,0.0089605,0.0089605,0.0089605
24,1.3949,0.71428,1.4737,0.86907,0.86915,0.92892,0.55238,1.3843,0.71564,1.6166,0.008911,0.008911,0.008911
25,1.3925,0.70881,1.4801,0.82174,0.80621,0.85905,0.44928,1.6447,0.84725,1.8549,0.0088615,0.0088615,0.0088615
26,1.378,0.69975,1.4686,0.89066,0.85522,0.92999,0.54827,1.4137,0.7277,1.637,0.008812,0.008812,0.008812
