                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,4.1862,3.6361,4.0097,0.00059,0.03777,0.00031,8.00E-05,3.8666,3.4185,3.7523,0.070857,0.0032381,0.0032381
2,3.0479,2.3449,3.0986,0.00114,0.01349,0.00058,0.00015,3.8185,3.8602,3.6994,0.040825,0.0065389,0.0065389
3,2.2959,1.6892,2.3064,0.23238,0.19043,0.15404,0.05821,2.5798,2.9437,2.7997,0.010759,0.0098067,0.0098067
4,2.063,1.3883,1.992,0.67424,0.61376,0.68445,0.26361,2.0474,2.4302,2.3304,0.0098515,0.0098515,0.0098515
5,1.9129,1.2409,1.8624,0.82883,0.78379,0.85758,0.42428,1.7096,1.0994,1.9449,0.0098515,0.0098515,0.0098515
6,1.8313,1.1323,1.7884,0.81869,0.76709,0.84582,0.39943,1.7917,1.0994,1.9911,0.009802,0.009802,0.009802
7,1.7574,1.0653,1.7461,0.78467,0.75701,0.82411,0.39282,1.7467,1.1108,1.9729,0.0097525,0.0097525,0.0097525
8,1.7203,1.0188,1.699,0.82354,0.78327,0.85199,0.43653,1.7144,1.0085,1.91,0.009703,0.009703,0.009703
9,1.6766,0.98952,1.6844,0.80931,0.79137,0.84897,0.44213,1.6287,1.0925,1.8309,0.0096535,0.0096535,0.0096535
10,1.6356,0.95157,1.6588,0.85466,0.80036,0.87347,0.45003,1.6574,0.93971,1.8564,0.009604,0.009604,0.009604
11,1.6141,0.93573,1.6428,0.81369,0.79766,0.8641,0.45781,1.6128,0.98293,1.805,0.0095545,0.0095545,0.0095545
12,1.6286,0.91904,1.6418,0.8297,0.83027,0.88378,0.45699,1.5974,0.92746,1.8011,0.009505,0.009505,0.009505
13,1.5916,0.89936,1.6212,0.81078,0.82458,0.88101,0.47133,1.5526,0.96668,1.7777,0.0094555,0.0094555,0.0094555
14,1.5754,0.88743,1.6132,0.80003,0.78432,0.85574,0.44271,1.6627,0.97894,1.8455,0.009406,0.009406,0.009406
15,1.5448,0.86267,1.5894,0.83485,0.83993,0.90143,0.48198,1.5412,0.88194,1.7443,0.0093565,0.0093565,0.0093565
16,1.5395,0.84332,1.5794,0.86013,0.81565,0.89267,0.49203,1.5361,0.84686,1.7557,0.009307,0.009307,0.009307
17,1.5219,0.8224,1.5624,0.81458,0.81188,0.87009,0.4429,1.6693,0.96785,1.8547,0.0092575,0.0092575,0.0092575
18,1.5169,0.81934,1.5628,0.82591,0.82599,0.89079,0.49124,1.4977,0.84791,1.7192,0.009208,0.009208,0.009208
19,1.4957,0.79874,1.5474,0.84583,0.86826,0.92137,0.51226,1.5387,0.77597,1.7458,0.0091585,0.0091585,0.0091585
20,1.4905,0.78795,1.5504,0.85237,0.85567,0.91841,0.51557,1.4786,0.80618,1.6909,0.009109,0.009109,0.009109
21,1.4688,0.77833,1.5117,0.88027,0.85162,0.92329,0.52405,1.4841,0.74277,1.6981,0.0090595,0.0090595,0.0090595
22,1.4499,0.76168,1.5149,0.86452,0.87226,0.92804,0.5322,1.4575,0.74838,1.6644,0.00901,0.00901,0.00901
23,1.4458,0.74403,1.5141,0.89466,0.86685,0.93476,0.55965,1.3866,0.70781,1.6276,0.0089605,0.0089605,0.0089605
24,1.4114,0.73085,1.4821,0.82617,0.87905,0.91731,0.5403,1.4034,0.77996,1.6312,0.008911,0.008911,0.008911
25,1.4236,0.73266,1.4988,0.85172,0.86003,0.92006,0.52188,1.5023,0.75384,1.72,0.0088615,0.0088615,0.0088615
26,1.4092,0.72272,1.4864,0.86908,0.8786,0.93566,0.55399,1.4213,0.69987,1.6296,0.008812,0.008812,0.008812
