                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,4.0775,3.5634,4.0366,0.0006,0.03822,0.00032,9.00E-05,3.6951,3.4977,3.6369,0.070857,0.0032381,0.0032381
2,2.9692,2.2228,2.9788,0.00774,0.10432,0.00924,0.00244,3.603,3.8466,3.4857,0.040825,0.0065389,0.0065389
3,2.3219,1.6779,2.2624,0.59923,0.49548,0.53865,0.22728,2.1891,1.6627,2.3211,0.010759,0.0098067,0.0098067
4,2.1092,1.4826,2.0202,0.44643,0.49326,0.43407,0.16138,2.0662,4.6975,2.2561,0.0098515,0.0098515,0.0098515
5,1.9607,1.3622,1.9025,0.62609,0.60746,0.62492,0.277,1.8892,2.0603,2.0753,0.0098515,0.0098515,0.0098515
6,1.88,1.248,1.8284,0.64864,0.59019,0.63683,0.25523,2.0608,1.6417,2.1918,0.009802,0.009802,0.009802
7,1.8208,1.1743,1.7935,0.80459,0.73381,0.82395,0.38579,1.7763,1.3211,2.0158,0.0097525,0.0097525,0.0097525
8,1.7869,1.1288,1.7501,0.81392,0.78082,0.85245,0.42744,1.6995,1.1008,1.9213,0.009703,0.009703,0.009703
9,1.7469,1.0908,1.7354,0.79001,0.72739,0.79642,0.36119,1.8379,1.4201,2.0014,0.0096535,0.0096535,0.0096535
10,1.7146,1.0517,1.7177,0.78133,0.75991,0.82488,0.39966,1.7382,1.0775,1.9247,0.009604,0.009604,0.009604
11,1.694,1.033,1.7033,0.81423,0.76859,0.83129,0.41005,1.7169,1.0909,1.9571,0.0095545,0.0095545,0.0095545
12,1.7041,1.0196,1.7044,0.78983,0.79766,0.84441,0.41909,1.7205,1.009,1.9289,0.009505,0.009505,0.009505
13,1.6876,0.99629,1.6943,0.81659,0.81079,0.86913,0.45456,1.6145,1.1153,1.8316,0.0094555,0.0094555,0.0094555
14,1.6637,0.9783,1.6797,0.80005,0.8024,0.85068,0.42375,1.7029,1.0313,1.8753,0.009406,0.009406,0.009406
15,1.6491,0.96876,1.668,0.76705,0.77968,0.82065,0.40547,1.6937,1.1164,1.8551,0.0093565,0.0093565,0.0093565
16,1.641,0.9456,1.6528,0.79365,0.79207,0.84944,0.43839,1.6149,1.0055,1.839,0.009307,0.009307,0.009307
17,1.6258,0.93098,1.6403,0.83467,0.80812,0.87454,0.44732,1.6498,1.0021,1.8511,0.0092575,0.0092575,0.0092575
18,1.6262,0.92493,1.6454,0.81879,0.84518,0.89134,0.48498,1.5014,0.92905,1.7271,0.009208,0.009208,0.009208
19,1.6086,0.90585,1.6298,0.84845,0.83073,0.89426,0.47902,1.587,0.88417,1.7774,0.0091585,0.0091585,0.0091585
20,1.6086,0.89942,1.629,0.84164,0.83453,0.89575,0.48319,1.5526,0.89519,1.7647,0.009109,0.009109,0.009109
21,1.5974,0.88332,1.6024,0.86183,0.82452,0.89027,0.47879,1.5829,0.85856,1.7734,0.0090595,0.0090595,0.0090595
22,1.5849,0.88165,1.6102,0.85606,0.82284,0.90116,0.49474,1.5494,0.85675,1.7681,0.00901,0.00901,0.00901
23,1.5834,0.85755,1.6131,0.8461,0.83004,0.89639,0.48957,1.5353,0.88008,1.7369,0.0089605,0.0089605,0.0089605
24,1.5577,0.85154,1.5841,0.81121,0.83498,0.88353,0.48304,1.5287,0.89071,1.7398,0.008911,0.008911,0.008911
25,1.5663,0.8479,1.5992,0.83277,0.81058,0.87669,0.46401,1.6038,0.91583,1.7948,0.0088615,0.0088615,0.0088615
26,1.559,0.8515,1.5938,0.85578,0.85027,0.90912,0.49715,1.52,0.81112,1.7425,0.008812,0.008812,0.008812
27,1.5342,0.83034,1.5833,0.87949,0.83768,0.90762,0.50701,1.52,0.81689,1.7269,0.0087625,0.0087625,0.0087625
28,1.5474,0.83695,1.5855,0.8457,0.83903,0.90553,0.51429,1.4982,0.80133,1.7059,0.008713,0.008713,0.008713
29,1.5324,0.82758,1.5603,0.85648,0.85329,0.91546,0.51444,1.4784,0.81195,1.6947,0.0086635,0.0086635,0.0086635
30,1.5197,0.81802,1.5641,0.8383,0.82194,0.8949,0.48914,1.5196,0.84232,1.7182,0.008614,0.008614,0.008614
