                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,4.0647,3.4288,3.9152,0.00043,0.02743,0.00024,6.00E-05,3.5787,3.5294,3.5329,0.070857,0.0032381,0.0032381
2,2.9901,2.1283,2.9721,8.00E-05,0.0009,4.00E-05,1.00E-05,3.5135,3.8627,3.4167,0.040825,0.0065389,0.0065389
3,2.3194,1.6473,2.2743,0.61991,0.40468,0.47175,0.18476,2.3286,1.9984,2.4472,0.010759,0.0098067,0.0098067
4,2.0678,1.4233,1.9753,0.50343,0.46763,0.45333,0.17052,2.1982,2.8635,2.3632,0.0098515,0.0098515,0.0098515
5,1.9393,1.2683,1.8727,0.72694,0.71823,0.7503,0.32426,1.9884,1.4366,2.2869,0.0098515,0.0098515,0.0098515
6,1.8519,1.1686,1.8016,0.75222,0.70459,0.75831,0.31624,1.9859,1.3215,2.1466,0.009802,0.009802,0.009802
7,1.7849,1.0973,1.7636,0.72154,0.66502,0.72939,0.31015,1.9168,1.3986,2.1044,0.0097525,0.0097525,0.0097525
8,1.7475,1.0506,1.7168,0.8042,0.77788,0.84666,0.43044,1.6969,1.0285,1.8917,0.009703,0.009703,0.009703
9,1.7021,1.025,1.7,0.82916,0.80743,0.87643,0.44093,1.6687,0.9943,1.8831,0.0096535,0.0096535,0.0096535
10,1.6613,0.98586,1.6779,0.8361,0.77068,0.85012,0.44539,1.6427,0.97738,1.8641,0.009604,0.009604,0.009604
11,1.641,0.9747,1.6641,0.82657,0.81435,0.88101,0.47123,1.5654,1.0044,1.7885,0.0095545,0.0095545,0.0095545
12,1.6582,0.95859,1.6576,0.82404,0.79946,0.86003,0.43364,1.6351,1.0613,1.8373,0.009505,0.009505,0.009505
13,1.6307,0.93854,1.6463,0.82218,0.80871,0.86648,0.44579,1.6091,0.97458,1.8046,0.0094555,0.0094555,0.0094555
14,1.6127,0.92628,1.6371,0.83019,0.78917,0.87372,0.46545,1.5877,0.95315,1.8062,0.009406,0.009406,0.009406
15,1.5871,0.90419,1.6208,0.83998,0.83004,0.89294,0.48309,1.5123,0.92805,1.7259,0.0093565,0.0093565,0.0093565
16,1.5752,0.88507,1.5998,0.82061,0.83508,0.87524,0.46557,1.5673,0.90966,1.7636,0.009307,0.009307,0.009307
17,1.5544,0.86428,1.5803,0.83556,0.83395,0.89465,0.46947,1.5823,0.95779,1.7842,0.0092575,0.0092575,0.0092575
18,1.5509,0.86352,1.5844,0.85445,0.84203,0.90255,0.50084,1.4981,0.83198,1.7106,0.009208,0.009208,0.009208
19,1.5437,0.84346,1.577,0.85325,0.83228,0.89463,0.48824,1.5502,0.82056,1.7418,0.0091585,0.0091585,0.0091585
20,1.5404,0.83346,1.5815,0.8187,0.8264,0.88722,0.48487,1.5242,0.88484,1.7354,0.009109,0.009109,0.009109
21,1.5212,0.82123,1.5461,0.87697,0.82734,0.9084,0.50506,1.5255,0.80337,1.7263,0.0090595,0.0090595,0.0090595
22,1.4995,0.81382,1.5458,0.85705,0.83813,0.90947,0.50623,1.5385,0.81268,1.7467,0.00901,0.00901,0.00901
23,1.5018,0.79216,1.5503,0.85785,0.84218,0.90611,0.51071,1.4846,0.80171,1.7017,0.0089605,0.0089605,0.0089605
24,1.4699,0.78138,1.5186,0.81443,0.81306,0.86768,0.45602,1.6214,0.94078,1.8302,0.008911,0.008911,0.008911
25,1.4788,0.78264,1.5352,0.87489,0.84847,0.92354,0.52153,1.5053,0.77949,1.7151,0.0088615,0.0088615,0.0088615
26,1.4686,0.7815,1.5246,0.85455,0.86061,0.92187,0.52128,1.5071,0.75794,1.7073,0.008812,0.008812,0.008812
27,1.4483,0.76563,1.5152,0.87649,0.88706,0.93202,0.54486,1.4627,0.72893,1.6763,0.0087625,0.0087625,0.0087625
28,1.4544,0.76292,1.5139,0.85774,0.8621,0.91372,0.52285,1.485,0.75799,1.6868,0.008713,0.008713,0.008713
29,1.4321,0.75137,1.4876,0.87752,0.87185,0.92773,0.53514,1.4527,0.75342,1.6732,0.0086635,0.0086635,0.0086635
30,1.4191,0.73793,1.4893,0.87703,0.86587,0.92696,0.53213,1.4367,0.75284,1.6599,0.008614,0.008614,0.008614
31,1.4103,0.73475,1.4775,0.88754,0.87635,0.94148,0.5619,1.3871,0.70556,1.6062,0.0085645,0.0085645,0.0085645
32,1.3979,0.72071,1.4757,0.87454,0.88444,0.9346,0.55496,1.4156,0.71119,1.6409,0.008515,0.008515,0.008515
33,1.4002,0.72053,1.4726,0.86026,0.89613,0.93814,0.55073,1.4528,0.69463,1.6783,0.0084655,0.0084655,0.0084655
34,1.3815,0.70572,1.4653,0.87665,0.89156,0.93904,0.56986,1.362,0.70039,1.5875,0.008416,0.008416,0.008416
35,1.3805,0.71259,1.4535,0.88968,0.88444,0.93748,0.56045,1.4154,0.68232,1.6305,0.0083665,0.0083665,0.0083665
36,1.3725,0.70526,1.4547,0.89248,0.88084,0.94645,0.56523,1.3939,0.67514,1.6203,0.008317,0.008317,0.008317
37,1.3585,0.68919,1.4438,0.8811,0.85567,0.92861,0.56223,1.4071,0.73721,1.634,0.0082675,0.0082675,0.0082675
38,1.3464,0.68017,1.4337,0.90584,0.88669,0.95005,0.59082,1.3305,0.65077,1.5711,0.008218,0.008218,0.008218
39,1.348,0.68319,1.4382,0.86567,0.89748,0.93771,0.56756,1.3684,0.72892,1.5834,0.0081685,0.0081685,0.0081685
40,1.3438,0.68435,1.4467,0.85145,0.89945,0.9315,0.55181,1.4123,0.69539,1.6301,0.008119,0.008119,0.008119
41,1.333,0.67011,1.4184,0.89877,0.8942,0.94687,0.581,1.3824,0.65094,1.6087,0.0080695,0.0080695,0.0080695
42,1.3198,0.6668,1.4215,0.90262,0.89658,0.95155,0.59071,1.3483,0.64578,1.5714,0.00802,0.00802,0.00802
43,1.3131,0.65732,1.4084,0.87944,0.89545,0.94091,0.57588,1.3595,0.67126,1.5996,0.0079705,0.0079705,0.0079705
44,1.3118,0.65456,1.4184,0.91196,0.88495,0.94962,0.59501,1.3479,0.63431,1.5823,0.007921,0.007921,0.007921
45,1.2952,0.64443,1.399,0.88925,0.90333,0.94722,0.58848,1.3415,0.65339,1.5814,0.0078715,0.0078715,0.0078715
46,1.2962,0.64543,1.4095,0.89212,0.91102,0.95607,0.59227,1.3491,0.63658,1.5629,0.007822,0.007822,0.007822
47,1.2941,0.64416,1.4018,0.88783,0.90393,0.95113,0.59487,1.3181,0.63147,1.5548,0.0077725,0.0077725,0.0077725
48,1.2791,0.63674,1.3884,0.90848,0.88894,0.95251,0.59781,1.3325,0.6282,1.5653,0.007723,0.007723,0.007723
49,1.2566,0.62324,1.3742,0.90893,0.88804,0.95081,0.6019,1.3121,0.61661,1.5549,0.0076735,0.0076735,0.0076735
50,1.2642,0.62594,1.3779,0.89531,0.91592,0.95537,0.6008,1.3076,0.6069,1.5367,0.007624,0.007624,0.007624
51,1.2477,0.61858,1.3714,0.90348,0.89838,0.9528,0.60075,1.3078,0.61902,1.5331,0.0075745,0.0075745,0.0075745
52,1.2459,0.62436,1.3647,0.88645,0.90468,0.95219,0.6048,1.3053,0.6445,1.5537,0.007525,0.007525,0.007525
53,1.2345,0.61338,1.3629,0.9084,0.91052,0.9594,0.61871,1.2842,0.59671,1.533,0.0074755,0.0074755,0.0074755
54,1.2436,0.61539,1.3565,0.89375,0.89029,0.94824,0.59586,1.318,0.62364,1.544,0.007426,0.007426,0.007426
55,1.2263,0.60232,1.3664,0.91584,0.90108,0.95926,0.6168,1.291,0.59707,1.5287,0.0073765,0.0073765,0.0073765
56,1.2397,0.60395,1.3544,0.90878,0.90468,0.95681,0.61934,1.2801,0.59354,1.5212,0.007327,0.007327,0.007327
57,1.211,0.59029,1.3377,0.89218,0.91232,0.95659,0.60083,1.3438,0.60635,1.5836,0.0072775,0.0072775,0.0072775
58,1.2118,0.59434,1.345,0.90659,0.92896,0.96436,0.62709,1.2622,0.57826,1.5177,0.007228,0.007228,0.007228
59,1.2015,0.59159,1.339,0.90989,0.91727,0.96389,0.6269,1.2657,0.57299,1.5076,0.0071785,0.0071785,0.0071785
60,1.2035,0.58031,1.3307,0.92135,0.90603,0.96179,0.62871,1.2581,0.56978,1.5019,0.007129,0.007129,0.007129
61,1.1887,0.58052,1.3259,0.90786,0.89029,0.95066,0.59923,1.3398,0.61478,1.5895,0.0070795,0.0070795,0.0070795
62,1.1785,0.56909,1.3195,0.90166,0.93171,0.96368,0.63409,1.2648,0.57149,1.5132,0.00703,0.00703,0.00703
63,1.1882,0.57371,1.3242,0.91119,0.91346,0.96075,0.62909,1.2452,0.56551,1.5008,0.0069805,0.0069805,0.0069805
64,1.1751,0.56861,1.3108,0.90468,0.92177,0.96175,0.63851,1.2535,0.55679,1.5,0.006931,0.006931,0.006931
65,1.1692,0.56678,1.3097,0.89396,0.90599,0.95389,0.60839,1.3076,0.60178,1.546,0.0068815,0.0068815,0.0068815
66,1.1668,0.56621,1.2988,0.91253,0.91467,0.96254,0.63982,1.2375,0.55859,1.4887,0.006832,0.006832,0.006832
67,1.1477,0.55968,1.2951,0.9115,0.92356,0.96499,0.64313,1.2308,0.55013,1.4862,0.0067825,0.0067825,0.0067825
68,1.1595,0.56072,1.2977,0.90196,0.91862,0.96337,0.62822,1.2598,0.57332,1.5209,0.006733,0.006733,0.006733
69,1.1561,0.55383,1.2891,0.92757,0.91727,0.96846,0.64452,1.2488,0.55566,1.4997,0.0066835,0.0066835,0.0066835
70,1.1526,0.55432,1.2988,0.91865,0.91901,0.96178,0.63214,1.255,0.56322,1.5101,0.006634,0.006634,0.006634
71,1.148,0.55613,1.2934,0.9187,0.91772,0.9623,0.64119,1.2353,0.55417,1.4885,0.0065845,0.0065845,0.0065845
72,1.1196,0.54391,1.2744,0.91759,0.92131,0.96333,0.63905,1.2351,0.55067,1.4853,0.006535,0.006535,0.006535
73,1.1154,0.53966,1.2723,0.9329,0.91457,0.96491,0.6452,1.2212,0.54819,1.4811,0.0064855,0.0064855,0.0064855
74,1.1216,0.535,1.279,0.90401,0.93583,0.965,0.65248,1.2099,0.54431,1.4767,0.006436,0.006436,0.006436
75,1.1046,0.53834,1.2758,0.90627,0.91736,0.96394,0.65228,1.2108,0.54653,1.4697,0.0063865,0.0063865,0.0063865
76,1.1132,0.53678,1.2683,0.92873,0.91322,0.96787,0.65036,1.2054,0.53746,1.467,0.006337,0.006337,0.006337
77,1.1023,0.53759,1.265,0.92467,0.91621,0.96467,0.65883,1.2105,0.54662,1.4792,0.0062875,0.0062875,0.0062875
