                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,4.339,3.9216,4.1999,0.00016,0.00989,8.00E-05,2.00E-05,4.1909,3.7604,4.0021,0.070857,0.0032381,0.0032381
2,3.667,3.0366,3.6125,0.00061,0.03867,0.00032,7.00E-05,4.0274,3.7473,3.8912,0.040825,0.0065389,0.0065389
3,2.4394,1.8609,2.4362,0.44543,0.38579,0.35808,0.14454,2.2295,2.3654,2.4763,0.010759,0.0098067,0.0098067
4,2.1166,1.3899,2.0282,0.7574,0.67941,0.74879,0.34259,1.8695,1.7651,2.1227,0.0098515,0.0098515,0.0098515
5,1.9317,1.2335,1.8706,0.77999,0.74125,0.81653,0.37506,1.8939,1.2419,2.1442,0.0098515,0.0098515,0.0098515
6,1.8351,1.1214,1.7923,0.79997,0.75523,0.8135,0.37175,1.861,1.2246,2.0597,0.009802,0.009802,0.009802
7,1.7509,1.0616,1.7429,0.79804,0.76224,0.84087,0.4291,1.6314,1.0895,1.8949,0.0097525,0.0097525,0.0097525
8,1.7132,1.0059,1.6962,0.81592,0.75535,0.83423,0.4105,1.7262,1.0826,1.9078,0.009703,0.009703,0.009703
9,1.6629,0.97736,1.6796,0.82539,0.80344,0.8732,0.45395,1.6156,0.99378,1.8009,0.0096535,0.0096535,0.0096535
10,1.619,0.93296,1.6563,0.81164,0.77923,0.85525,0.43244,1.6672,0.96685,1.8631,0.009604,0.009604,0.009604
11,1.5963,0.90283,1.6366,0.83003,0.80845,0.88712,0.4743,1.5916,0.92756,1.8037,0.0095545,0.0095545,0.0095545
12,1.6086,0.88933,1.6354,0.82187,0.8161,0.86873,0.44129,1.5964,0.95826,1.8034,0.009505,0.009505,0.009505
13,1.5703,0.87026,1.6167,0.85533,0.82824,0.90362,0.4946,1.5161,0.85967,1.7412,0.0094555,0.0094555,0.0094555
14,1.5472,0.84991,1.6019,0.76878,0.76709,0.81315,0.41158,1.6486,1.0451,1.8139,0.009406,0.009406,0.009406
15,1.5211,0.83287,1.5834,0.84605,0.80065,0.88736,0.46982,1.5771,0.89109,1.7758,0.0093565,0.0093565,0.0093565
16,1.5097,0.81437,1.5641,0.83376,0.82824,0.885,0.45554,1.6435,0.83307,1.8443,0.009307,0.009307,0.009307
17,1.4823,0.79116,1.5426,0.84081,0.87632,0.91292,0.50832,1.5249,0.78081,1.7361,0.0092575,0.0092575,0.0092575
18,1.4832,0.78908,1.5441,0.85882,0.79592,0.89607,0.49871,1.5105,0.81523,1.7124,0.009208,0.009208,0.009208
19,1.4605,0.76585,1.5272,0.85829,0.8633,0.92232,0.52232,1.4884,0.75517,1.7056,0.0091585,0.0091585,0.0091585
20,1.4506,0.75443,1.5272,0.84842,0.85314,0.91421,0.51307,1.5194,0.80432,1.7102,0.009109,0.009109,0.009109
21,1.4244,0.73664,1.488,0.87663,0.86151,0.92373,0.5315,1.4741,0.74373,1.6841,0.0090595,0.0090595,0.0090595
22,1.409,0.72425,1.4933,0.85653,0.89209,0.93181,0.54792,1.4323,0.71259,1.654,0.00901,0.00901,0.00901
23,1.4036,0.71023,1.4902,0.89575,0.86152,0.93749,0.5668,1.3947,0.70048,1.6268,0.0089605,0.0089605,0.0089605
24,1.3698,0.69485,1.4605,0.8622,0.88714,0.93374,0.55428,1.377,0.70493,1.6226,0.008911,0.008911,0.008911
25,1.3728,0.69026,1.4678,0.86073,0.88367,0.93369,0.56065,1.3837,0.69066,1.6292,0.0088615,0.0088615,0.0088615
26,1.3536,0.68356,1.4545,0.89177,0.88546,0.94939,0.57832,1.3597,0.65362,1.5983,0.008812,0.008812,0.008812
27,1.3279,0.6691,1.4408,0.87678,0.89568,0.94329,0.58236,1.3592,0.68181,1.6155,0.0087625,0.0087625,0.0087625
28,1.3262,0.6635,1.4367,0.8846,0.83756,0.92041,0.53934,1.4516,0.72874,1.6823,0.008713,0.008713,0.008713
