               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
0,5.2685,4.9433,5.2414,0.00052371,0.033273,0.00027132,6.16E-05,0,0,0,0.070435,0.003285,0.003285
1,4.7682,3.9721,4.9896,0.1896,0.21358,0.097582,0.027064,0,0,0,0.040402,0.0065858,0.0065858
2,3.4307,2.7389,3.7923,0.016353,0.17266,0.0090562,0.0028652,0,0,0,0.010337,0.0098537,0.0098537
3,2.8981,2.0935,2.8256,0.56612,0.53147,0.528,0.18291,0,0,0,0.0098522,0.0098522,0.0098522
4,2.6647,1.8439,2.4934,0.70548,0.66906,0.70195,0.28963,0,0,0,0.0098522,0.0098522,0.0098522
5,2.5479,1.6609,2.3304,0.69679,0.64299,0.67467,0.29382,0,0,0,0.009803,0.009803,0.009803
6,2.4522,1.565,2.2503,0.78235,0.78282,0.8293,0.38579,0,0,0,0.0097537,0.0097537,0.0097537
7,2.3815,1.498,2.1905,0.82041,0.80518,0.86979,0.44857,0,0,0,0.0097045,0.0097045,0.0097045
8,2.3347,1.4128,2.1212,0.81319,0.76799,0.84086,0.41359,0,0,0,0.0096552,0.0096552,0.0096552
9,2.2879,1.3782,2.0878,0.82313,0.8134,0.87071,0.45558,0,0,0,0.009606,0.009606,0.009606
10,2.2647,1.369,2.0957,0.8015,0.79586,0.85919,0.44614,0,0,0,0.0095567,0.0095567,0.0095567
11,2.2175,1.3148,2.0411,0.83861,0.76124,0.84979,0.4394,0,0,0,0.0095075,0.0095075,0.0095075
12,2.2074,1.2911,2.0352,0.85281,0.78282,0.87138,0.47392,0,0,0,0.0094582,0.0094582,0.0094582
13,2.1815,1.28,2.0115,0.82567,0.80927,0.87739,0.47312,0,0,0,0.009409,0.009409,0.009409
14,2.1617,1.27,2.0117,0.84159,0.80265,0.88448,0.48354,0,0,0,0.0093597,0.0093597,0.0093597
15,2.1497,1.2432,1.9865,0.86166,0.81475,0.89372,0.4895,0,0,0,0.0093104,0.0093104,0.0093104
16,2.137,1.2248,1.9787,0.84273,0.817,0.88784,0.47821,0,0,0,0.0092612,0.0092612,0.0092612
17,2.1027,1.2095,1.9656,0.82927,0.79495,0.87281,0.44791,0,0,0,0.0092119,0.0092119,0.0092119
18,2.0857,1.1952,1.939,0.83271,0.84173,0.89972,0.48734,0,0,0,0.0091627,0.0091627,0.0091627
19,2.077,1.1725,1.9373,0.86449,0.8125,0.89969,0.49456,0,0,0,0.0091134,0.0091134,0.0091134
20,2.0643,1.1593,1.9337,0.84407,0.82734,0.89939,0.48966,0,0,0,0.0090642,0.0090642,0.0090642
21,2.0712,1.1594,1.9323,0.85186,0.80531,0.88613,0.48097,0,0,0,0.0090149,0.0090149,0.0090149
22,2.0441,1.1466,1.9288,0.84173,0.82264,0.8879,0.491,0,0,0,0.0089657,0.0089657,0.0089657
23,2.0319,1.1216,1.9308,0.82898,0.84353,0.89993,0.48522,0,0,0,0.0089164,0.0089164,0.0089164
24,2.008,1.1102,1.8927,0.85989,0.81879,0.90637,0.52137,0,0,0,0.0088672,0.0088672,0.0088672
25,2.0102,1.0954,1.8948,0.86297,0.84128,0.9162,0.52163,0,0,0,0.0088179,0.0088179,0.0088179
26,1.9966,1.087,1.8863,0.84684,0.85521,0.90008,0.50375,0,0,0,0.0087687,0.0087687,0.0087687
27,1.9871,1.0758,1.8704,0.85284,0.85474,0.91376,0.52332,0,0,0,0.0087194,0.0087194,0.0087194
28,1.9651,1.0758,1.8749,0.87166,0.85027,0.91801,0.5138,0,0,0,0.0086701,0.0086701,0.0086701
29,1.9607,1.0688,1.8807,0.86669,0.85653,0.92092,0.5349,0,0,0,0.0086209,0.0086209,0.0086209
30,1.9598,1.0568,1.8725,0.86796,0.86896,0.92677,0.54407,0,0,0,0.0085716,0.0085716,0.0085716
31,1.9415,1.0466,1.874,0.88118,0.8786,0.93117,0.54343,0,0,0,0.0085224,0.0085224,0.0085224
32,1.9147,1.0259,1.8357,0.87175,0.82828,0.91273,0.52021,0,0,0,0.0084731,0.0084731,0.0084731
33,1.9168,1.0242,1.8301,0.88293,0.85459,0.92807,0.54426,0,0,0,0.0084239,0.0084239,0.0084239
34,1.926,1.0225,1.8392,0.86426,0.85477,0.9265,0.53496,0,0,0,0.0083746,0.0083746,0.0083746
35,1.8915,1.007,1.8441,0.87913,0.88759,0.94084,0.55999,0,0,0,0.0083254,0.0083254,0.0083254
36,1.8886,1.013,1.8264,0.87241,0.86736,0.91995,0.54327,0,0,0,0.0082761,0.0082761,0.0082761
37,1.8906,0.98201,1.82,0.88824,0.87196,0.94221,0.56499,0,0,0,0.0082269,0.0082269,0.0082269
38,1.8608,0.97801,1.7943,0.87971,0.87725,0.93867,0.54823,0,0,0,0.0081776,0.0081776,0.0081776
