               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               5.324,              5.4086,              5.3927,          0.00022225,            0.011241,          0.00011239,          2.3728e-05,                   0,                   0,                   0,            0.070435,            0.003285,            0.003285
                   1,              5.2066,              5.1559,              5.4342,          0.00022189,            0.011241,          0.00011219,          2.9942e-05,                   0,                   0,                   0,            0.040402,           0.0065858,           0.0065858
                   2,              5.1163,              4.8339,              5.2179,           0.0035173,             0.22347,           0.0022166,          0.00072406,                   0,                   0,                   0,            0.010337,           0.0098537,           0.0098537
                   3,              3.6461,              3.4294,              4.1002,             0.25869,             0.18975,             0.11964,            0.035917,                   0,                   0,                   0,           0.0098522,           0.0098522,           0.0098522
                   4,              2.9663,              2.2115,              3.1126,             0.46601,              0.4964,             0.44037,             0.15197,                   0,                   0,                   0,           0.0098522,           0.0098522,           0.0098522
                   5,              2.7495,               1.887,              2.6789,             0.71048,             0.63849,             0.68797,             0.28908,                   0,                   0,                   0,            0.009803,            0.009803,            0.009803
                   6,              2.6009,              1.7139,              2.4576,             0.77673,             0.75045,             0.80252,             0.35423,                   0,                   0,                   0,           0.0097537,           0.0097537,           0.0097537
                   7,              2.5187,              1.6216,                2.34,             0.76239,             0.73868,              0.7869,             0.36449,                   0,                   0,                   0,           0.0097045,           0.0097045,           0.0097045
                   8,              2.4331,              1.5283,              2.2218,             0.78013,             0.73831,             0.79838,             0.37935,                   0,                   0,                   0,           0.0096552,           0.0096552,           0.0096552
                   9,               2.371,              1.4501,              2.1642,             0.73109,             0.70728,             0.75489,              0.3665,                   0,                   0,                   0,            0.009606,            0.009606,            0.009606
                  10,              2.3505,              1.4395,              2.1695,             0.81868,              0.7464,             0.82607,             0.39442,                   0,                   0,                   0,           0.0095567,           0.0095567,           0.0095567
                  11,              2.2964,              1.3788,              2.1073,             0.83934,             0.77113,             0.85478,             0.43203,                   0,                   0,                   0,           0.0095075,           0.0095075,           0.0095075
                  12,              2.2703,              1.3496,              2.0894,             0.78786,             0.75989,             0.82382,             0.42585,                   0,                   0,                   0,           0.0094582,           0.0094582,           0.0094582
                  13,              2.2519,              1.3278,              2.0617,             0.82132,             0.77878,             0.85461,             0.44326,                   0,                   0,                   0,            0.009409,            0.009409,            0.009409
                  14,              2.2224,               1.321,              2.0602,             0.82072,              0.8125,             0.87553,             0.46531,                   0,                   0,                   0,           0.0093597,           0.0093597,           0.0093597
                  15,              2.2082,              1.2862,              2.0313,             0.82646,             0.81295,             0.87504,             0.47035,                   0,                   0,                   0,           0.0093104,           0.0093104,           0.0093104
                  16,               2.196,              1.2633,              2.0246,             0.83987,             0.79451,             0.88247,             0.46296,                   0,                   0,                   0,           0.0092612,           0.0092612,           0.0092612
                  17,               2.158,              1.2418,              2.0083,             0.76442,             0.74702,             0.80646,             0.38976,                   0,                   0,                   0,           0.0092119,           0.0092119,           0.0092119
                  18,              2.1396,              1.2282,               1.974,             0.82776,             0.81835,             0.88481,             0.47788,                   0,                   0,                   0,           0.0091627,           0.0091627,           0.0091627
                  19,              2.1333,                1.21,              1.9758,             0.84202,             0.82678,             0.88717,             0.49011,                   0,                   0,                   0,           0.0091134,           0.0091134,           0.0091134
                  20,              2.1073,              1.1929,              1.9665,             0.85486,             0.81969,             0.89282,              0.4871,                   0,                   0,                   0,           0.0090642,           0.0090642,           0.0090642
                  21,              2.1163,              1.1947,              1.9642,             0.84149,             0.79489,             0.87717,             0.47026,                   0,                   0,                   0,           0.0090149,           0.0090149,           0.0090149
                  22,              2.0928,              1.1765,              1.9606,             0.85031,             0.82329,             0.89147,             0.48969,                   0,                   0,                   0,           0.0089657,           0.0089657,           0.0089657
                  23,              2.0745,              1.1595,              1.9594,              0.8359,             0.84128,             0.90068,             0.49534,                   0,                   0,                   0,           0.0089164,           0.0089164,           0.0089164
                  24,              2.0591,              1.1391,              1.9319,             0.85042,             0.78739,             0.87641,             0.48679,                   0,                   0,                   0,           0.0088672,           0.0088672,           0.0088672
                  25,              2.0589,              1.1253,              1.9277,             0.84476,             0.81232,             0.88805,             0.47581,                   0,                   0,                   0,           0.0088179,           0.0088179,           0.0088179
