               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
0,5.3081,5.0158,5.2815,0.00014862,0.0094424,7.55E-05,2.32E-05,0,0,0,0.070857,0.0032381,0.0032381
1,5.0513,4.4021,5.1447,0.00094126,0.059802,0.0004991,0.00013259,0,0,0,0.040825,0.0065391,0.0065391
2,3.678,2.9118,3.9818,0.38459,0.36333,0.31849,0.10493,0,0,0,0.01076,0.0098072,0.0098072
3,2.9017,2.0626,2.9171,0.4101,0.37386,0.34302,0.1289,0,0,0,0.0098522,0.0098522,0.0098522
4,2.639,1.7507,2.5016,0.78575,0.72393,0.78351,0.33919,0,0,0,0.0098522,0.0098522,0.0098522
5,2.5173,1.5806,2.3217,0.62105,0.60943,0.60558,0.27611,0,0,0,0.009803,0.009803,0.009803
6,2.4098,1.4836,2.2149,0.63439,0.48246,0.52793,0.21379,0,0,0,0.0097537,0.0097537,0.0097537
7,2.348,1.4335,2.1679,0.80337,0.692,0.77783,0.36991,0,0,0,0.0097045,0.0097045,0.0097045
8,2.2982,1.3725,2.1024,0.84431,0.75809,0.83671,0.41025,0,0,0,0.0096552,0.0096552,0.0096552
9,2.264,1.321,2.0666,0.75652,0.7464,0.78892,0.38258,0,0,0,0.009606,0.009606,0.009606
10,2.2443,1.3211,2.0743,0.70808,0.54182,0.61406,0.28232,0,0,0,0.0095567,0.0095567,0.0095567
11,2.1989,1.281,2.0211,0.81437,0.79586,0.85802,0.44329,0,0,0,0.0095075,0.0095075,0.0095075
12,2.1923,1.257,2.0249,0.82471,0.78103,0.84497,0.42767,0,0,0,0.0094582,0.0094582,0.0094582
13,2.1632,1.2416,1.9888,0.80881,0.77923,0.84244,0.40568,0,0,0,0.009409,0.009409,0.009409
14,2.1694,1.246,2.0056,0.71062,0.60971,0.69106,0.31975,0,0,0,0.0093597,0.0093597,0.0093597
15,2.1379,1.2218,1.9752,0.80393,0.80396,0.85911,0.43145,0,0,0,0.0093104,0.0093104,0.0093104
16,2.122,1.204,1.9762,0.84246,0.8152,0.8801,0.46481,0,0,0,0.0092612,0.0092612,0.0092612
17,2.0962,1.1797,1.9572,0.80245,0.78353,0.85592,0.4472,0,0,0,0.0092119,0.0092119,0.0092119
18,2.0835,1.1729,1.9372,0.83763,0.80081,0.87513,0.47123,0,0,0,0.0091627,0.0091627,0.0091627
19,2.0701,1.1571,1.9281,0.79204,0.77878,0.84592,0.42175,0,0,0,0.0091134,0.0091134,0.0091134
20,2.0661,1.1441,1.9299,0.85641,0.817,0.89156,0.46095,0,0,0,0.0090642,0.0090642,0.0090642
21,2.0629,1.1568,1.9399,0.83289,0.8161,0.88585,0.47748,0,0,0,0.0090149,0.0090149,0.0090149
22,2.0514,1.1353,1.9168,0.86304,0.78642,0.88052,0.47371,0,0,0,0.0089657,0.0089657,0.0089657
23,2.0218,1.1145,1.9215,0.84708,0.82941,0.8911,0.47748,0,0,0,0.0089164,0.0089164,0.0089164
24,2.0119,1.0996,1.8996,0.85602,0.81924,0.89927,0.50479,0,0,0,0.0088672,0.0088672,0.0088672
25,2.0154,1.086,1.8922,0.86343,0.82725,0.90315,0.50486,0,0,0,0.0088179,0.0088179,0.0088179
26,2.0116,1.0914,1.888,0.86344,0.86736,0.92082,0.51595,0,0,0,0.0087687,0.0087687,0.0087687
27,1.977,1.0744,1.8712,0.83133,0.78895,0.87026,0.48346,0,0,0,0.0087194,0.0087194,0.0087194
28,1.9676,1.0707,1.8761,0.86215,0.86286,0.92531,0.52127,0,0,0,0.0086701,0.0086701,0.0086701
29,1.9744,1.0649,1.8917,0.87957,0.8538,0.92522,0.52883,0,0,0,0.0086209,0.0086209,0.0086209
30,1.9664,1.0589,1.8775,0.86095,0.85467,0.91607,0.52418,0,0,0,0.0085716,0.0085716,0.0085716
31,1.9501,1.048,1.8738,0.86104,0.84802,0.91683,0.52792,0,0,0,0.0085224,0.0085224,0.0085224
32,1.934,1.0336,1.8433,0.8605,0.84039,0.91011,0.50481,0,0,0,0.0084731,0.0084731,0.0084731
33,1.9228,1.0205,1.8395,0.85426,0.82496,0.90175,0.50744,0,0,0,0.0084239,0.0084239,0.0084239
34,1.9316,1.0196,1.8382,0.86063,0.85799,0.92168,0.53502,0,0,0,0.0083746,0.0083746,0.0083746
35,1.8887,1.0063,1.842,0.88637,0.86915,0.93351,0.53532,0,0,0,0.0083254,0.0083254,0.0083254
36,1.904,1.0126,1.832,0.86216,0.88669,0.93114,0.54622,0,0,0,0.0082761,0.0082761,0.0082761
37,1.8854,0.98616,1.8191,0.89772,0.84063,0.92625,0.53954,0,0,0,0.0082269,0.0082269,0.0082269
38,1.8817,0.98426,1.7989,0.85444,0.88849,0.93497,0.55306,0,0,0,0.0081776,0.0081776,0.0081776
39,1.8844,0.98416,1.8117,0.88983,0.85027,0.92737,0.5467,0,0,0,0.0081284,0.0081284,0.0081284
40,1.868,0.99571,1.8234,0.82714,0.83993,0.90099,0.51356,0,0,0,0.0080791,0.0080791,0.0080791
41,1.8705,0.98219,1.8145,0.87949,0.86635,0.92851,0.55393,0,0,0,0.0080299,0.0080299,0.0080299
42,1.8461,0.97084,1.7906,0.87049,0.87042,0.92627,0.54652,0,0,0,0.0079806,0.0079806,0.0079806
43,1.8516,0.95535,1.7878,0.87957,0.87682,0.93589,0.56626,0,0,0,0.0079313,0.0079313,0.0079313
44,1.8431,0.95987,1.792,0.87668,0.86628,0.92801,0.54485,0,0,0,0.0078821,0.0078821,0.0078821
45,1.833,0.9506,1.8008,0.87663,0.88823,0.93824,0.56336,0,0,0,0.0078328,0.0078328,0.0078328
46,1.8266,0.93386,1.7897,0.88418,0.8804,0.9407,0.56996,0,0,0,0.0077836,0.0077836,0.0077836
47,1.8182,0.9447,1.7773,0.87912,0.88293,0.9335,0.5663,0,0,0,0.0077343,0.0077343,0.0077343
48,1.8029,0.92911,1.7545,0.87162,0.88309,0.93228,0.5594,0,0,0,0.0076851,0.0076851,0.0076851
49,1.8081,0.93443,1.7795,0.88197,0.87995,0.93872,0.56724,0,0,0,0.0076358,0.0076358,0.0076358
50,1.7797,0.90947,1.7493,0.89781,0.86871,0.93565,0.58624,0,0,0,0.0075866,0.0075866,0.0075866
51,1.7755,0.90874,1.7694,0.88702,0.8705,0.93424,0.5616,0,0,0,0.0075373,0.0075373,0.0075373
52,1.7738,0.9065,1.7453,0.88833,0.89928,0.95211,0.59784,0,0,0,0.0074881,0.0074881,0.0074881
53,1.7763,0.90489,1.7392,0.87821,0.89164,0.94053,0.57474,0,0,0,0.0074388,0.0074388,0.0074388
54,1.7565,0.89865,1.7394,0.87894,0.89074,0.94298,0.57919,0,0,0,0.0073896,0.0073896,0.0073896
55,1.7706,0.89327,1.7468,0.90292,0.8699,0.9434,0.57933,0,0,0,0.0073403,0.0073403,0.0073403
56,1.7372,0.88143,1.7338,0.89345,0.88939,0.95401,0.59627,0,0,0,0.007291,0.007291,0.007291
57,1.7575,0.90198,1.7608,0.89364,0.89658,0.94776,0.59609,0,0,0,0.0072418,0.0072418,0.0072418
58,1.7365,0.88357,1.7181,0.89871,0.88567,0.95095,0.59657,0,0,0,0.0071925,0.0071925,0.0071925
59,1.7324,0.885,1.7373,0.90094,0.88737,0.94831,0.59075,0,0,0,0.0071433,0.0071433,0.0071433
60,1.7263,0.86583,1.7197,0.88144,0.90063,0.94393,0.5853,0,0,0,0.007094,0.007094,0.007094
61,1.722,0.87156,1.7305,0.91215,0.8964,0.95368,0.59381,0,0,0,0.0070448,0.0070448,0.0070448
62,1.722,0.86697,1.715,0.88503,0.90827,0.94712,0.59794,0,0,0,0.0069955,0.0069955,0.0069955
63,1.7065,0.85288,1.7191,0.86998,0.90262,0.93991,0.57937,0,0,0,0.0069463,0.0069463,0.0069463
64,1.6995,0.85485,1.7158,0.91547,0.90087,0.95688,0.61093,0,0,0,0.006897,0.006897,0.006897
65,1.701,0.85236,1.6836,0.8826,0.91142,0.95227,0.60925,0,0,0,0.0068478,0.0068478,0.0068478
66,1.6916,0.84153,1.6959,0.90549,0.90032,0.9551,0.60824,0,0,0,0.0067985,0.0067985,0.0067985
67,1.6726,0.83724,1.6905,0.9109,0.89173,0.95585,0.59741,0,0,0,0.0067493,0.0067493,0.0067493
68,1.705,0.86711,1.7188,0.89653,0.8961,0.94687,0.59702,0,0,0,0.0067,0.0067,0.0067
69,1.6838,0.84126,1.7121,0.89974,0.90827,0.95029,0.61055,0,0,0,0.0066507,0.0066507,0.0066507
70,1.673,0.82839,1.6731,0.89139,0.88534,0.94874,0.59133,0,0,0,0.0066015,0.0066015,0.0066015
71,1.6699,0.82747,1.6808,0.89565,0.90311,0.95461,0.60702,0,0,0,0.0065522,0.0065522,0.0065522
72,1.6595,0.82066,1.6791,0.89895,0.90401,0.95781,0.61404,0,0,0,0.006503,0.006503,0.006503
73,1.6465,0.81685,1.6707,0.88818,0.91789,0.95751,0.61306,0,0,0,0.0064537,0.0064537,0.0064537
74,1.6678,0.8252,1.6625,0.9091,0.89938,0.95882,0.619,0,0,0,0.0064045,0.0064045,0.0064045
75,1.6484,0.81168,1.6692,0.90391,0.90468,0.95483,0.61833,0,0,0,0.0063552,0.0063552,0.0063552
