               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
0,5.285,5.1505,5.3194,0.00020333,0.010342,0.00010322,2.41E-05,0,0,0,0.070857,0.0032381,0.0032381
1,5.1593,4.8402,5.1988,0.0002477,0.015737,0.00012643,3.37E-05,0,0,0,0.040825,0.0065389,0.0065389
2,4.1298,3.4879,4.4118,0.14459,0.41906,0.10916,0.033421,0,0,0,0.010759,0.0098067,0.0098067
3,2.9617,2.2909,3.0387,0.47486,0.37934,0.34297,0.11515,0,0,0,0.0098515,0.0098515,0.0098515
4,2.7016,1.8884,2.5545,0.71168,0.67371,0.72812,0.30653,0,0,0,0.0098515,0.0098515,0.0098515
5,2.5662,1.727,2.3573,0.6631,0.69335,0.6924,0.3163,0,0,0,0.009802,0.009802,0.009802
6,2.4639,1.603,2.2528,0.71747,0.6931,0.72461,0.32065,0,0,0,0.0097525,0.0097525,0.0097525
7,2.4052,1.5421,2.2009,0.68877,0.63684,0.66184,0.30469,0,0,0,0.009703,0.009703,0.009703
8,2.3648,1.4707,2.1413,0.77891,0.7455,0.79931,0.39254,0,0,0,0.0096535,0.0096535,0.0096535
9,2.3189,1.4236,2.0989,0.78292,0.73623,0.80597,0.37858,0,0,0,0.009604,0.009604,0.009604
10,2.3123,1.4215,2.11,0.61372,0.5865,0.60753,0.26975,0,0,0,0.0095545,0.0095545,0.0095545
11,2.2629,1.37,2.0527,0.7707,0.69874,0.76276,0.37762,0,0,0,0.009505,0.009505,0.009505
12,2.2499,1.3451,2.0571,0.78004,0.67446,0.75751,0.3661,0,0,0,0.0094555,0.0094555,0.0094555
13,2.233,1.3279,2.0224,0.79017,0.75518,0.81166,0.38526,0,0,0,0.009406,0.009406,0.009406
14,2.2245,1.3359,2.0286,0.70989,0.65137,0.71487,0.31345,0,0,0,0.0093565,0.0093565,0.0093565
15,2.1984,1.2994,2.0029,0.78005,0.808,0.84533,0.4329,0,0,0,0.009307,0.009307,0.009307
16,2.1884,1.2769,2.0075,0.83691,0.79836,0.87568,0.46457,0,0,0,0.0092575,0.0092575,0.0092575
17,2.159,1.2655,1.9836,0.78375,0.80845,0.85414,0.44618,0,0,0,0.009208,0.009208,0.009208
18,2.1481,1.2523,1.9655,0.78937,0.78022,0.83927,0.43542,0,0,0,0.0091585,0.0091585,0.0091585
19,2.1347,1.2339,1.9571,0.81651,0.8098,0.8759,0.45336,0,0,0,0.009109,0.009109,0.009109
20,2.1278,1.2162,1.9526,0.8205,0.76867,0.8511,0.43725,0,0,0,0.0090595,0.0090595,0.0090595
21,2.1286,1.229,1.9643,0.83961,0.80029,0.87907,0.47084,0,0,0,0.00901,0.00901,0.00901
22,2.119,1.2058,1.9388,0.81871,0.81835,0.88395,0.46806,0,0,0,0.0089605,0.0089605,0.0089605
23,2.0844,1.1909,1.9401,0.82978,0.817,0.87729,0.47663,0,0,0,0.008911,0.008911,0.008911
24,2.0797,1.1725,1.9251,0.824,0.79092,0.86696,0.4641,0,0,0,0.0088615,0.0088615,0.0088615
25,2.0851,1.1707,1.9184,0.84261,0.83903,0.89299,0.48152,0,0,0,0.008812,0.008812,0.008812
26,2.0796,1.1676,1.9126,0.85741,0.81115,0.89749,0.50543,0,0,0,0.0087625,0.0087625,0.0087625
27,2.0482,1.1405,1.9021,0.83246,0.80665,0.87128,0.46414,0,0,0,0.008713,0.008713,0.008713
28,2.042,1.1414,1.9039,0.86825,0.82194,0.90108,0.49734,0,0,0,0.0086635,0.0086635,0.0086635
29,2.0442,1.1486,1.9189,0.86293,0.80935,0.89066,0.48596,0,0,0,0.008614,0.008614,0.008614
30,2.0351,1.1286,1.902,0.8528,0.83633,0.89798,0.49438,0,0,0,0.0085645,0.0085645,0.0085645
31,2.0146,1.1172,1.8947,0.85605,0.85836,0.91318,0.51267,0,0,0,0.008515,0.008515,0.008515
32,2.0108,1.1051,1.8666,0.82856,0.78867,0.8686,0.46806,0,0,0,0.0084655,0.0084655,0.0084655
33,2.0011,1.094,1.8683,0.80701,0.82543,0.87955,0.47122,0,0,0,0.008416,0.008416,0.008416
34,2.0006,1.097,1.8612,0.84028,0.83094,0.895,0.4966,0,0,0,0.0083665,0.0083665,0.0083665
35,1.9624,1.0721,1.8625,0.84683,0.82284,0.88919,0.48812,0,0,0,0.008317,0.008317,0.008317
36,1.9733,1.0805,1.8599,0.83381,0.83813,0.89622,0.49263,0,0,0,0.0082675,0.0082675,0.0082675
37,1.9687,1.0645,1.8484,0.86575,0.84847,0.91178,0.52207,0,0,0,0.008218,0.008218,0.008218
38,1.9666,1.0574,1.835,0.85473,0.86691,0.91521,0.51605,0,0,0,0.0081685,0.0081685,0.0081685
39,1.9655,1.0555,1.8404,0.8523,0.85626,0.91215,0.50631,0,0,0,0.008119,0.008119,0.008119
40,1.9405,1.067,1.8515,0.85519,0.83642,0.90662,0.51574,0,0,0,0.0080695,0.0080695,0.0080695
41,1.9558,1.0501,1.8461,0.87841,0.86106,0.91993,0.53631,0,0,0,0.00802,0.00802,0.00802
42,1.9313,1.0424,1.8232,0.872,0.84237,0.9173,0.531,0,0,0,0.0079705,0.0079705,0.0079705
43,1.9303,1.0238,1.8161,0.86898,0.86184,0.91977,0.53271,0,0,0,0.007921,0.007921,0.007921
44,1.9263,1.0273,1.8226,0.87829,0.84364,0.92316,0.5339,0,0,0,0.0078715,0.0078715,0.0078715
45,1.9217,1.0259,1.8351,0.8662,0.85656,0.91431,0.51904,0,0,0,0.007822,0.007822,0.007822
46,1.9105,1.0062,1.8219,0.85711,0.87658,0.91981,0.54626,0,0,0,0.0077725,0.0077725,0.0077725
47,1.9104,1.0227,1.8106,0.85509,0.86915,0.92312,0.54045,0,0,0,0.007723,0.007723,0.007723
48,1.9002,1.0046,1.792,0.86067,0.86106,0.91956,0.5432,0,0,0,0.0076735,0.0076735,0.0076735
49,1.9004,1.0103,1.8133,0.87029,0.85376,0.92477,0.54284,0,0,0,0.007624,0.007624,0.007624
50,1.8722,0.98683,1.7868,0.89289,0.83583,0.92186,0.54216,0,0,0,0.0075745,0.0075745,0.0075745
51,1.8658,0.97926,1.8025,0.88084,0.87275,0.93147,0.54906,0,0,0,0.007525,0.007525,0.007525
52,1.865,0.97627,1.7865,0.88735,0.86601,0.93432,0.56391,0,0,0,0.0074755,0.0074755,0.0074755
53,1.8642,0.97943,1.7718,0.88206,0.87365,0.93423,0.55073,0,0,0,0.007426,0.007426,0.007426
54,1.8621,0.97639,1.7845,0.84149,0.88354,0.91151,0.52546,0,0,0,0.0073765,0.0073765,0.0073765
55,1.8627,0.96195,1.7806,0.88786,0.86151,0.92896,0.56512,0,0,0,0.007327,0.007327,0.007327
56,1.8322,0.95957,1.7754,0.88424,0.88714,0.93819,0.55519,0,0,0,0.0072775,0.0072775,0.0072775
57,1.8489,0.97242,1.7982,0.86988,0.88072,0.92957,0.55241,0,0,0,0.007228,0.007228,0.007228
58,1.8317,0.95794,1.759,0.88842,0.875,0.93592,0.56383,0,0,0,0.0071785,0.0071785,0.0071785
59,1.8282,0.96091,1.7738,0.87872,0.8786,0.93366,0.55239,0,0,0,0.007129,0.007129,0.007129
60,1.8233,0.94275,1.7675,0.87945,0.8723,0.92969,0.55953,0,0,0,0.0070795,0.0070795,0.0070795
61,1.8265,0.93924,1.7772,0.87802,0.89006,0.93835,0.57907,0,0,0,0.00703,0.00703,0.00703
62,1.8168,0.94105,1.7533,0.88536,0.87635,0.93516,0.56676,0,0,0,0.0069805,0.0069805,0.0069805
63,1.7989,0.93119,1.7593,0.88766,0.87005,0.93098,0.55882,0,0,0,0.006931,0.006931,0.006931
64,1.8016,0.93273,1.7594,0.87505,0.88802,0.93944,0.57927,0,0,0,0.0068815,0.0068815,0.0068815
65,1.8032,0.92678,1.7273,0.89771,0.88789,0.94306,0.58629,0,0,0,0.006832,0.006832,0.006832
66,1.7953,0.92207,1.7426,0.88555,0.88489,0.93906,0.58634,0,0,0,0.0067825,0.0067825,0.0067825
67,1.782,0.91695,1.7401,0.88349,0.88991,0.94298,0.57626,0,0,0,0.006733,0.006733,0.006733
68,1.8108,0.94153,1.7609,0.88155,0.89523,0.94232,0.57868,0,0,0,0.0066835,0.0066835,0.0066835
69,1.7927,0.92115,1.7625,0.90064,0.88579,0.94173,0.57864,0,0,0,0.006634,0.006634,0.006634
70,1.7844,0.90831,1.7222,0.89017,0.87995,0.94108,0.56933,0,0,0,0.0065845,0.0065845,0.0065845
71,1.7735,0.90019,1.7289,0.8882,0.88952,0.93846,0.58474,0,0,0,0.006535,0.006535,0.006535
72,1.7696,0.90445,1.7255,0.88123,0.90075,0.94825,0.59229,0,0,0,0.0064855,0.0064855,0.0064855
73,1.7592,0.89964,1.7203,0.91094,0.8804,0.94523,0.58679,0,0,0,0.006436,0.006436,0.006436
74,1.7836,0.9048,1.7122,0.89846,0.89164,0.94573,0.59914,0,0,0,0.0063865,0.0063865,0.0063865
75,1.7567,0.88998,1.717,0.88157,0.88579,0.94019,0.5853,0,0,0,0.006337,0.006337,0.006337
76,1.7515,0.9016,1.7112,0.90105,0.8885,0.94915,0.60278,0,0,0,0.0062875,0.0062875,0.0062875
77,1.7368,0.8881,1.7078,0.89367,0.89344,0.94719,0.59402,0,0,0,0.006238,0.006238,0.006238
78,1.7367,0.87552,1.6839,0.90154,0.90167,0.95269,0.60439,0,0,0,0.0061885,0.0061885,0.0061885
79,1.728,0.88157,1.7038,0.90957,0.88939,0.95445,0.60344,0,0,0,0.006139,0.006139,0.006139
80,1.7186,0.86246,1.6936,0.89876,0.89809,0.95235,0.6051,0,0,0,0.0060895,0.0060895,0.0060895
81,1.7682,0.88099,1.7236,0.90276,0.89746,0.95394,0.60231,0,0,0,0.00604,0.00604,0.00604
82,1.7297,0.86938,1.691,0.89227,0.89883,0.95098,0.60007,0,0,0,0.0059905,0.0059905,0.0059905
83,1.7212,0.85905,1.6896,0.88536,0.90827,0.95128,0.60772,0,0,0,0.005941,0.005941,0.005941
84,1.6861,0.84857,1.7022,0.90636,0.89215,0.95306,0.60768,0,0,0,0.0058915,0.0058915,0.0058915
85,1.6923,0.8441,1.6733,0.90919,0.89584,0.9509,0.61409,0,0,0,0.005842,0.005842,0.005842
86,1.7198,0.86237,1.6928,0.89575,0.90782,0.95421,0.61487,0,0,0,0.0057925,0.0057925,0.0057925
87,1.7035,0.85746,1.6787,0.90248,0.89878,0.95361,0.61785,0,0,0,0.005743,0.005743,0.005743
88,1.6871,0.8438,1.6863,0.91546,0.90083,0.95691,0.61326,0,0,0,0.0056935,0.0056935,0.0056935
89,1.7,0.85424,1.6786,0.89872,0.90571,0.95297,0.61774,0,0,0,0.005644,0.005644,0.005644
90,1.7028,0.84703,1.6838,0.90303,0.90827,0.95904,0.61873,0,0,0,0.0055945,0.0055945,0.0055945
91,1.6868,0.84862,1.6652,0.92412,0.88714,0.9572,0.61928,0,0,0,0.005545,0.005545,0.005545
92,1.6856,0.83993,1.6586,0.92094,0.89036,0.95292,0.61365,0,0,0,0.0054955,0.0054955,0.0054955
93,1.6826,0.84425,1.6852,0.902,0.91462,0.95498,0.61538,0,0,0,0.005446,0.005446,0.005446
94,1.6837,0.83778,1.6806,0.91352,0.89703,0.95258,0.61337,0,0,0,0.0053965,0.0053965,0.0053965
95,1.6698,0.8322,1.6603,0.9188,0.89119,0.95801,0.62606,0,0,0,0.005347,0.005347,0.005347
96,1.6681,0.82746,1.6525,0.90607,0.90288,0.95328,0.61759,0,0,0,0.0052975,0.0052975,0.0052975
97,1.6764,0.82904,1.6679,0.9113,0.89254,0.94852,0.61043,0,0,0,0.005248,0.005248,0.005248
98,1.6601,0.81666,1.6491,0.92172,0.88759,0.95862,0.62041,0,0,0,0.0051985,0.0051985,0.0051985
99,1.6686,0.82941,1.6642,0.90437,0.90063,0.9531,0.61464,0,0,0,0.005149,0.005149,0.005149
100,1.6534,0.82137,1.6544,0.8998,0.91255,0.95806,0.63136,0,0,0,0.0050995,0.0050995,0.0050995
101,1.6262,0.80264,1.6425,0.90617,0.91817,0.96031,0.62953,0,0,0,0.00505,0.00505,0.00505
102,1.6545,0.81238,1.6494,0.89899,0.90846,0.95335,0.62409,0,0,0,0.0050005,0.0050005,0.0050005
103,1.6491,0.82139,1.65,0.90509,0.91052,0.96031,0.63163,0,0,0,0.004951,0.004951,0.004951
104,1.6069,0.79696,1.6442,0.9096,0.91682,0.96031,0.63343,0,0,0,0.0049015,0.0049015,0.0049015
105,1.6305,0.80932,1.6447,0.9093,0.89973,0.95433,0.62867,0,0,0,0.004852,0.004852,0.004852
106,1.6157,0.79825,1.6344,0.91432,0.91277,0.95825,0.63975,0,0,0,0.0048025,0.0048025,0.0048025
107,1.6203,0.80032,1.6249,0.91847,0.90675,0.96156,0.62889,0,0,0,0.004753,0.004753,0.004753
108,1.626,0.80334,1.648,0.92184,0.89622,0.95984,0.62787,0,0,0,0.0047035,0.0047035,0.0047035
109,1.5995,0.78778,1.6164,0.92516,0.88938,0.95824,0.62231,0,0,0,0.004654,0.004654,0.004654
110,1.6126,0.79367,1.634,0.90303,0.91277,0.9599,0.63969,0,0,0,0.0046045,0.0046045,0.0046045
111,1.5938,0.78841,1.6123,0.9045,0.9113,0.96007,0.63906,0,0,0,0.004555,0.004555,0.004555
112,1.5943,0.79242,1.6129,0.91365,0.91187,0.96353,0.64324,0,0,0,0.0045055,0.0045055,0.0045055
113,1.6033,0.79087,1.6302,0.90755,0.91412,0.96212,0.63515,0,0,0,0.004456,0.004456,0.004456
114,1.5819,0.78579,1.6074,0.91016,0.91592,0.96314,0.6408,0,0,0,0.0044065,0.0044065,0.0044065
115,1.5831,0.78528,1.631,0.91525,0.91187,0.96344,0.64242,0,0,0,0.004357,0.004357,0.004357
116,1.5839,0.77944,1.616,0.90583,0.92559,0.96347,0.64119,0,0,0,0.0043075,0.0043075,0.0043075
117,1.5698,0.76848,1.5938,0.89841,0.92254,0.96255,0.64312,0,0,0,0.004258,0.004258,0.004258
118,1.5905,0.77329,1.5973,0.9097,0.92407,0.96329,0.64553,0,0,0,0.0042085,0.0042085,0.0042085
119,1.5626,0.77118,1.595,0.91799,0.91457,0.96331,0.64644,0,0,0,0.004159,0.004159,0.004159
120,1.5781,0.77031,1.6008,0.91424,0.92041,0.96505,0.65174,0,0,0,0.0041095,0.0041095,0.0041095
121,1.581,0.78075,1.6095,0.91702,0.91007,0.96349,0.64872,0,0,0,0.00406,0.00406,0.00406
122,1.5358,0.74806,1.5867,0.92324,0.91396,0.96568,0.64897,0,0,0,0.0040105,0.0040105,0.0040105
123,1.5613,0.7735,1.5895,0.91088,0.91916,0.96253,0.64765,0,0,0,0.003961,0.003961,0.003961
124,1.5437,0.75131,1.5915,0.91824,0.91905,0.96495,0.64665,0,0,0,0.0039115,0.0039115,0.0039115
125,1.5703,0.76312,1.5867,0.90279,0.93165,0.96535,0.64704,0,0,0,0.003862,0.003862,0.003862
126,1.558,0.7624,1.5815,0.91884,0.9214,0.96629,0.6515,0,0,0,0.0038125,0.0038125,0.0038125
127,1.5482,0.74977,1.5677,0.91901,0.91835,0.96301,0.65209,0,0,0,0.003763,0.003763,0.003763
128,1.549,0.76,1.5781,0.92223,0.91709,0.96308,0.65401,0,0,0,0.0037135,0.0037135,0.0037135
129,1.5525,0.7655,1.5974,0.91504,0.925,0.96221,0.64786,0,0,0,0.003664,0.003664,0.003664
130,1.5595,0.75642,1.5892,0.91644,0.9271,0.96653,0.65025,0,0,0,0.0036145,0.0036145,0.0036145
131,1.5242,0.74429,1.5777,0.91703,0.91772,0.96463,0.65883,0,0,0,0.003565,0.003565,0.003565
132,1.5161,0.73765,1.5727,0.9244,0.91637,0.96395,0.65902,0,0,0,0.0035155,0.0035155,0.0035155
133,1.5241,0.73355,1.5589,0.93013,0.90647,0.96597,0.66064,0,0,0,0.003466,0.003466,0.003466
134,1.5265,0.74814,1.5974,0.91001,0.92308,0.96703,0.65854,0,0,0,0.0034165,0.0034165,0.0034165
135,1.5085,0.7315,1.5612,0.92196,0.92176,0.96288,0.65276,0,0,0,0.003367,0.003367,0.003367
136,1.5173,0.74566,1.5867,0.91525,0.92311,0.96193,0.65623,0,0,0,0.0033175,0.0033175,0.0033175
137,1.5025,0.7339,1.5593,0.93229,0.90468,0.96383,0.65494,0,0,0,0.003268,0.003268,0.003268
138,1.5172,0.73737,1.5641,0.91291,0.92849,0.96476,0.6617,0,0,0,0.0032185,0.0032185,0.0032185
139,1.4907,0.71601,1.5421,0.9144,0.93187,0.96708,0.66104,0,0,0,0.003169,0.003169,0.003169
140,1.5013,0.72495,1.5464,0.91197,0.93031,0.96568,0.66156,0,0,0,0.0031195,0.0031195,0.0031195
141,1.4935,0.71756,1.5539,0.9173,0.92266,0.96527,0.65787,0,0,0,0.00307,0.00307,0.00307
142,1.5193,0.73878,1.5642,0.90691,0.93345,0.9651,0.66359,0,0,0,0.0030205,0.0030205,0.0030205
143,1.4688,0.71455,1.5476,0.92217,0.92806,0.96601,0.66689,0,0,0,0.002971,0.002971,0.002971
144,1.4842,0.7198,1.5528,0.92605,0.91774,0.96825,0.66473,0,0,0,0.0029215,0.0029215,0.0029215
145,1.4882,0.71844,1.5525,0.92771,0.91165,0.96706,0.66603,0,0,0,0.002872,0.002872,0.002872
146,1.4921,0.7257,1.5603,0.92222,0.92626,0.96776,0.66201,0,0,0,0.0028225,0.0028225,0.0028225
147,1.4789,0.71895,1.5659,0.91628,0.93009,0.96638,0.66745,0,0,0,0.002773,0.002773,0.002773
148,1.4743,0.71352,1.5448,0.93134,0.921,0.9678,0.66976,0,0,0,0.0027235,0.0027235,0.0027235
149,1.4804,0.71656,1.5363,0.91669,0.92896,0.96657,0.67086,0,0,0,0.002674,0.002674,0.002674
150,1.4844,0.7171,1.5488,0.92048,0.93691,0.96784,0.67253,0,0,0,0.0026245,0.0026245,0.0026245
151,1.4665,0.70003,1.5231,0.92252,0.933,0.96709,0.67359,0,0,0,0.002575,0.002575,0.002575
152,1.4523,0.70839,1.5261,0.93719,0.91917,0.96947,0.67186,0,0,0,0.0025255,0.0025255,0.0025255
153,1.4718,0.71252,1.5463,0.92018,0.93615,0.96937,0.67567,0,0,0,0.002476,0.002476,0.002476
154,1.4557,0.70731,1.5349,0.9361,0.92213,0.96961,0.67485,0,0,0,0.0024265,0.0024265,0.0024265
155,1.4347,0.70323,1.5317,0.92525,0.92949,0.96924,0.67171,0,0,0,0.002377,0.002377,0.002377
156,1.4462,0.69237,1.5221,0.92055,0.93252,0.96959,0.6759,0,0,0,0.0023275,0.0023275,0.0023275
157,1.4329,0.69295,1.5229,0.91648,0.93705,0.9662,0.67035,0,0,0,0.002278,0.002278,0.002278
158,1.4408,0.70726,1.5289,0.93063,0.92286,0.96843,0.67128,0,0,0,0.0022285,0.0022285,0.0022285
159,1.4347,0.69842,1.5413,0.92373,0.93128,0.96781,0.67275,0,0,0,0.002179,0.002179,0.002179
160,1.4377,0.69361,1.5211,0.91847,0.93705,0.96912,0.67523,0,0,0,0.0021295,0.0021295,0.0021295
161,1.4397,0.69046,1.5176,0.91341,0.93912,0.96533,0.67016,0,0,0,0.00208,0.00208,0.00208
162,1.4213,0.68401,1.5156,0.91278,0.94559,0.96881,0.6779,0,0,0,0.0020305,0.0020305,0.0020305
163,1.4389,0.68735,1.5081,0.92069,0.93615,0.96942,0.67771,0,0,0,0.001981,0.001981,0.001981
164,1.4315,0.69181,1.5298,0.92352,0.93388,0.96855,0.67772,0,0,0,0.0019315,0.0019315,0.0019315
165,1.4098,0.68042,1.5063,0.91558,0.93435,0.96726,0.67564,0,0,0,0.001882,0.001882,0.001882
166,1.4382,0.68872,1.5106,0.92087,0.94193,0.96914,0.68095,0,0,0,0.0018325,0.0018325,0.0018325
167,1.4129,0.67814,1.4963,0.93113,0.92986,0.96962,0.68326,0,0,0,0.001783,0.001783,0.001783
168,1.4083,0.67663,1.5185,0.92629,0.9357,0.97002,0.68156,0,0,0,0.0017335,0.0017335,0.0017335
169,1.4156,0.68263,1.5293,0.91723,0.94674,0.97132,0.68372,0,0,0,0.001684,0.001684,0.001684
170,1.3905,0.66753,1.4945,0.92242,0.93562,0.96763,0.68252,0,0,0,0.0016345,0.0016345,0.0016345
171,1.411,0.67752,1.4882,0.92516,0.93931,0.96718,0.68186,0,0,0,0.001585,0.001585,0.001585
172,1.3829,0.66622,1.4857,0.92547,0.9339,0.96795,0.68246,0,0,0,0.0015355,0.0015355,0.0015355
173,1.4023,0.674,1.5017,0.93133,0.92761,0.96979,0.68312,0,0,0,0.001486,0.001486,0.001486
174,1.3923,0.66926,1.4964,0.93587,0.92131,0.96854,0.68455,0,0,0,0.0014365,0.0014365,0.0014365
175,1.3726,0.66019,1.4747,0.93486,0.92283,0.96825,0.68614,0,0,0,0.001387,0.001387,0.001387
176,1.3741,0.6613,1.4905,0.92044,0.94151,0.97004,0.68737,0,0,0,0.0013375,0.0013375,0.0013375
177,1.3806,0.66377,1.4983,0.93407,0.92371,0.97067,0.68675,0,0,0,0.001288,0.001288,0.001288
178,1.3852,0.66527,1.4846,0.93271,0.92941,0.97097,0.68748,0,0,0,0.0012385,0.0012385,0.0012385
179,1.3771,0.66891,1.4914,0.9214,0.9382,0.96847,0.68489,0,0,0,0.001189,0.001189,0.001189
180,1.3876,0.66816,1.4933,0.9401,0.92266,0.9708,0.68466,0,0,0,0.0011395,0.0011395,0.0011395
181,1.3508,0.65797,1.4835,0.92566,0.94065,0.97192,0.68726,0,0,0,0.00109,0.00109,0.00109
182,1.3633,0.66308,1.4777,0.9407,0.92446,0.97208,0.688,0,0,0,0.0010405,0.0010405,0.0010405
183,1.3747,0.66641,1.4655,0.93294,0.93199,0.97196,0.68915,0,0,0,0.000991,0.000991,0.000991
184,1.358,0.66093,1.5027,0.93518,0.93409,0.97104,0.6873,0,0,0,0.0009415,0.0009415,0.0009415
185,1.3545,0.65612,1.4876,0.93026,0.93564,0.97041,0.68861,0,0,0,0.000892,0.000892,0.000892
186,1.3674,0.66272,1.4807,0.93313,0.93484,0.97193,0.68951,0,0,0,0.0008425,0.0008425,0.0008425
187,1.3412,0.64634,1.465,0.92064,0.94694,0.96888,0.68967,0,0,0,0.000793,0.000793,0.000793
188,1.3407,0.64514,1.4723,0.93361,0.93121,0.97109,0.68967,0,0,0,0.0007435,0.0007435,0.0007435
189,1.3611,0.65871,1.4855,0.93023,0.93518,0.96993,0.68905,0,0,0,0.000694,0.000694,0.000694
190,1.1699,0.56031,1.5006,0.93064,0.93975,0.96978,0.69041,0,0,0,0.0006445,0.0006445,0.0006445
191,1.1514,0.54105,1.4756,0.93542,0.92941,0.96878,0.69103,0,0,0,0.000595,0.000595,0.000595
192,1.1556,0.54513,1.4888,0.93304,0.93435,0.97186,0.68966,0,0,0,0.0005455,0.0005455,0.0005455
193,1.1385,0.53616,1.4762,0.93203,0.93031,0.97024,0.69468,0,0,0,0.000496,0.000496,0.000496
194,1.1403,0.5355,1.47,0.9351,0.9329,0.97056,0.69614,0,0,0,0.0004465,0.0004465,0.0004465
195,1.1123,0.52547,1.4499,0.93703,0.93001,0.97053,0.69677,0,0,0,0.000397,0.000397,0.000397
196,1.1015,0.51688,1.4436,0.92223,0.94374,0.97004,0.69701,0,0,0,0.0003475,0.0003475,0.0003475
197,1.1006,0.51167,1.4474,0.93261,0.93339,0.97036,0.69683,0,0,0,0.000298,0.000298,0.000298
198,1.1248,0.52804,1.466,0.93436,0.93435,0.97029,0.69683,0,0,0,0.0002485,0.0002485,0.0002485
199,1.1189,0.52532,1.4489,0.94012,0.92806,0.97099,0.69844,0,0,0,0.000199,0.000199,0.000199
