               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
0,5.2795,5.0659,5.4332,0.00020921,0.010791,0.00010631,2.95E-05,0,0,0,0.070857,0.0032381,0.0032381
1,5.1076,4.7115,5.2018,0.0014933,0.094874,0.00082088,0.00024543,0,0,0,0.040825,0.0065389,0.0065389
2,3.8864,3.2467,4.2109,0.20901,0.15707,0.097162,0.026029,0,0,0,0.010759,0.0098067,0.0098067
3,3.0108,2.2533,2.9511,0.39937,0.38489,0.3149,0.11071,0,0,0,0.0098515,0.0098515,0.0098515
4,2.735,1.9428,2.5721,0.6077,0.5781,0.61675,0.23121,0,0,0,0.0098515,0.0098515,0.0098515
5,2.5923,1.7782,2.3876,0.7465,0.72122,0.75704,0.34423,0,0,0,0.009802,0.009802,0.009802
6,2.4996,1.6513,2.29,0.77369,0.72096,0.78541,0.35064,0,0,0,0.0097525,0.0097525,0.0097525
7,2.4498,1.5972,2.2451,0.78512,0.73112,0.78639,0.36182,0,0,0,0.009703,0.009703,0.009703
8,2.4143,1.516,2.1873,0.71438,0.70324,0.72112,0.33928,0,0,0,0.0096535,0.0096535,0.0096535
9,2.3689,1.4656,2.14,0.66092,0.60911,0.64522,0.28898,0,0,0,0.009604,0.009604,0.009604
10,2.3621,1.4577,2.1554,0.66901,0.58678,0.63145,0.28594,0,0,0,0.0095545,0.0095545,0.0095545
11,2.3125,1.4094,2.0948,0.79437,0.74955,0.81629,0.37932,0,0,0,0.009505,0.009505,0.009505
12,2.3097,1.3891,2.1014,0.7445,0.75863,0.76817,0.35973,0,0,0,0.0094555,0.0094555,0.0094555
13,2.2835,1.3669,2.069,0.78808,0.72887,0.79334,0.37534,0,0,0,0.009406,0.009406,0.009406
14,2.2854,1.371,2.0782,0.69423,0.60612,0.67001,0.27191,0,0,0,0.0093565,0.0093565,0.0093565
15,2.2607,1.3475,2.052,0.73928,0.73181,0.76461,0.33344,0,0,0,0.009307,0.009307,0.009307
16,2.2493,1.3237,2.056,0.82956,0.77256,0.85597,0.44286,0,0,0,0.0092575,0.0092575,0.0092575
17,2.2318,1.3085,2.0391,0.80088,0.78912,0.84843,0.43645,0,0,0,0.009208,0.009208,0.009208
18,2.2122,1.3003,2.0161,0.81196,0.76034,0.8362,0.42728,0,0,0,0.0091585,0.0091585,0.0091585
19,2.1949,1.2846,2.0056,0.77528,0.71628,0.78483,0.37628,0,0,0,0.009109,0.009109,0.009109
20,2.1975,1.2657,2.0093,0.82426,0.79931,0.86641,0.42894,0,0,0,0.0090595,0.0090595,0.0090595
21,2.1901,1.2784,2.0192,0.83734,0.82644,0.87829,0.46395,0,0,0,0.00901,0.00901,0.00901
